task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,source_result_path,source_task_id,code_version
25,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990102,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_025_L10_V2.0_th8_bt8_dt0.05_s990102,,,source_identifier:PfQMC-main_20260821
26,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990103,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_026_L10_V2.0_th8_bt8_dt0.05_s990103,,,source_identifier:PfQMC-main_20260821
27,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990104,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_027_L10_V2.0_th8_bt8_dt0.05_s990104,,,source_identifier:PfQMC-main_20260821
28,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990105,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_028_L10_V2.0_th8_bt8_dt0.05_s990105,,,source_identifier:PfQMC-main_20260821
29,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990106,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_029_L10_V2.0_th8_bt8_dt0.05_s990106,,,source_identifier:PfQMC-main_20260821
30,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990107,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_030_L10_V2.0_th8_bt8_dt0.05_s990107,,,source_identifier:PfQMC-main_20260821
31,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990108,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_031_L10_V2.0_th8_bt8_dt0.05_s990108,,,source_identifier:PfQMC-main_20260821
32,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990109,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_032_L10_V2.0_th8_bt8_dt0.05_s990109,,,source_identifier:PfQMC-main_20260821
33,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990110,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_033_L10_V2.0_th8_bt8_dt0.05_s990110,,,source_identifier:PfQMC-main_20260821
34,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990111,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_034_L10_V2.0_th8_bt8_dt0.05_s990111,,,source_identifier:PfQMC-main_20260821
35,guard_off_trotter_convergence,10,2.0,8,8,0.05,1,0,0,0,990112,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_035_L10_V2.0_th8_bt8_dt0.05_s990112,,,source_identifier:PfQMC-main_20260821
