task_id,campaign,L,Vf,rate,seed,burn,measurements,output_dir
52,quick,18,4.0,1.0,4218001,500,3000,raw/quick/task_0052_L18_V4.0_R1.0_s4218001
53,quick,18,4.0,1.0,4218002,500,3000,raw/quick/task_0053_L18_V4.0_R1.0_s4218002
54,quick,18,4.0,1.0,4218003,500,3000,raw/quick/task_0054_L18_V4.0_R1.0_s4218003
55,quick,18,4.0,1.0,4218004,500,3000,raw/quick/task_0055_L18_V4.0_R1.0_s4218004
56,quick,18,4.0,2.0,4218001,500,3000,raw/quick/task_0056_L18_V4.0_R2.0_s4218001
57,quick,18,4.0,2.0,4218002,500,3000,raw/quick/task_0057_L18_V4.0_R2.0_s4218002
58,quick,18,4.0,2.0,4218003,500,3000,raw/quick/task_0058_L18_V4.0_R2.0_s4218003
59,quick,18,4.0,2.0,4218004,500,3000,raw/quick/task_0059_L18_V4.0_R2.0_s4218004
60,quick,18,4.1,0.5,4218001,500,3000,raw/quick/task_0060_L18_V4.1_R0.5_s4218001
61,quick,18,4.1,0.5,4218002,500,3000,raw/quick/task_0061_L18_V4.1_R0.5_s4218002
62,quick,18,4.1,0.5,4218003,500,3000,raw/quick/task_0062_L18_V4.1_R0.5_s4218003
63,quick,18,4.1,0.5,4218004,500,3000,raw/quick/task_0063_L18_V4.1_R0.5_s4218004
64,quick,18,4.1,1.0,4218001,500,3000,raw/quick/task_0064_L18_V4.1_R1.0_s4218001
65,quick,18,4.1,1.0,4218002,500,3000,raw/quick/task_0065_L18_V4.1_R1.0_s4218002
66,quick,18,4.1,1.0,4218003,500,3000,raw/quick/task_0066_L18_V4.1_R1.0_s4218003
67,quick,18,4.1,1.0,4218004,500,3000,raw/quick/task_0067_L18_V4.1_R1.0_s4218004
68,quick,18,4.1,2.0,4218001,500,3000,raw/quick/task_0068_L18_V4.1_R2.0_s4218001
69,quick,18,4.1,2.0,4218002,500,3000,raw/quick/task_0069_L18_V4.1_R2.0_s4218002
70,quick,18,4.1,2.0,4218003,500,3000,raw/quick/task_0070_L18_V4.1_R2.0_s4218003
71,quick,18,4.1,2.0,4218004,500,3000,raw/quick/task_0071_L18_V4.1_R2.0_s4218004
72,quick,18,4.2,0.5,4218001,500,3000,raw/quick/task_0072_L18_V4.2_R0.5_s4218001
73,quick,18,4.2,0.5,4218002,500,3000,raw/quick/task_0073_L18_V4.2_R0.5_s4218002
74,quick,18,4.2,0.5,4218003,500,3000,raw/quick/task_0074_L18_V4.2_R0.5_s4218003
75,quick,18,4.2,0.5,4218004,500,3000,raw/quick/task_0075_L18_V4.2_R0.5_s4218004
76,quick,18,4.2,1.0,4218001,500,3000,raw/quick/task_0076_L18_V4.2_R1.0_s4218001
77,quick,18,4.2,1.0,4218002,500,3000,raw/quick/task_0077_L18_V4.2_R1.0_s4218002
78,quick,18,4.2,1.0,4218003,500,3000,raw/quick/task_0078_L18_V4.2_R1.0_s4218003
79,quick,18,4.2,1.0,4218004,500,3000,raw/quick/task_0079_L18_V4.2_R1.0_s4218004
80,quick,18,4.2,2.0,4218001,500,3000,raw/quick/task_0080_L18_V4.2_R2.0_s4218001
81,quick,18,4.2,2.0,4218002,500,3000,raw/quick/task_0081_L18_V4.2_R2.0_s4218002
82,quick,18,4.2,2.0,4218003,500,3000,raw/quick/task_0082_L18_V4.2_R2.0_s4218003
83,quick,18,4.2,2.0,4218004,500,3000,raw/quick/task_0083_L18_V4.2_R2.0_s4218004
84,quick,18,4.3,0.5,4218001,500,3000,raw/quick/task_0084_L18_V4.3_R0.5_s4218001
85,quick,18,4.3,0.5,4218002,500,3000,raw/quick/task_0085_L18_V4.3_R0.5_s4218002
86,quick,18,4.3,0.5,4218003,500,3000,raw/quick/task_0086_L18_V4.3_R0.5_s4218003
87,quick,18,4.3,0.5,4218004,500,3000,raw/quick/task_0087_L18_V4.3_R0.5_s4218004
88,quick,18,4.3,1.0,4218001,500,3000,raw/quick/task_0088_L18_V4.3_R1.0_s4218001
89,quick,18,4.3,1.0,4218002,500,3000,raw/quick/task_0089_L18_V4.3_R1.0_s4218002
90,quick,18,4.3,1.0,4218003,500,3000,raw/quick/task_0090_L18_V4.3_R1.0_s4218003
91,quick,18,4.3,1.0,4218004,500,3000,raw/quick/task_0091_L18_V4.3_R1.0_s4218004
92,quick,18,4.3,2.0,4218001,500,3000,raw/quick/task_0092_L18_V4.3_R2.0_s4218001
93,quick,18,4.3,2.0,4218002,500,3000,raw/quick/task_0093_L18_V4.3_R2.0_s4218002
94,quick,18,4.3,2.0,4218003,500,3000,raw/quick/task_0094_L18_V4.3_R2.0_s4218003
95,quick,18,4.3,2.0,4218004,500,3000,raw/quick/task_0095_L18_V4.3_R2.0_s4218004
96,quick,18,4.4,0.5,4218001,500,3000,raw/quick/task_0096_L18_V4.4_R0.5_s4218001
97,quick,18,4.4,0.5,4218002,500,3000,raw/quick/task_0097_L18_V4.4_R0.5_s4218002
98,quick,18,4.4,0.5,4218003,500,3000,raw/quick/task_0098_L18_V4.4_R0.5_s4218003
99,quick,18,4.4,0.5,4218004,500,3000,raw/quick/task_0099_L18_V4.4_R0.5_s4218004
100,quick,18,4.4,1.0,4218001,500,3000,raw/quick/task_0100_L18_V4.4_R1.0_s4218001
101,quick,18,4.4,1.0,4218002,500,3000,raw/quick/task_0101_L18_V4.4_R1.0_s4218002
102,quick,18,4.4,1.0,4218003,500,3000,raw/quick/task_0102_L18_V4.4_R1.0_s4218003
103,quick,18,4.4,1.0,4218004,500,3000,raw/quick/task_0103_L18_V4.4_R1.0_s4218004
104,quick,18,4.4,2.0,4218001,500,3000,raw/quick/task_0104_L18_V4.4_R2.0_s4218001
105,quick,18,4.4,2.0,4218002,500,3000,raw/quick/task_0105_L18_V4.4_R2.0_s4218002
106,quick,18,4.4,2.0,4218003,500,3000,raw/quick/task_0106_L18_V4.4_R2.0_s4218003
107,quick,18,4.4,2.0,4218004,500,3000,raw/quick/task_0107_L18_V4.4_R2.0_s4218004
