dataset_id,L,Vf,rate,seed,source,result_dir
91,26,4.0,0.50,4226008,reused_original_rigorous,raw/rigorous/task_0187_L26_V4.00_R0.5_s4226008
92,26,4.0,0.50,4226009,reused_original_rigorous,raw/rigorous/task_0188_L26_V4.00_R0.5_s4226009
93,26,4.0,0.50,4226010,reused_original_rigorous,raw/rigorous/task_0189_L26_V4.00_R0.5_s4226010
94,26,4.0,0.50,4226011,reused_original_rigorous,raw/rigorous/task_0190_L26_V4.00_R0.5_s4226011
95,26,4.0,0.50,4226012,reused_original_rigorous,raw/rigorous/task_0191_L26_V4.00_R0.5_s4226012
96,26,4.0,1.00,4226001,reused_original_rigorous,raw/rigorous/task_0192_L26_V4.00_R1.0_s4226001
97,26,4.0,1.00,4226002,reused_original_rigorous,raw/rigorous/task_0193_L26_V4.00_R1.0_s4226002
98,26,4.0,1.00,4226003,reused_original_rigorous,raw/rigorous/task_0194_L26_V4.00_R1.0_s4226003
99,26,4.0,1.00,4226004,reused_original_rigorous,raw/rigorous/task_0195_L26_V4.00_R1.0_s4226004
100,26,4.0,1.00,4226005,reused_original_rigorous,raw/rigorous/task_0196_L26_V4.00_R1.0_s4226005
101,26,4.0,1.00,4226006,reused_original_rigorous,raw/rigorous/task_0197_L26_V4.00_R1.0_s4226006
102,26,4.0,1.00,4226007,reused_original_rigorous,raw/rigorous/task_0198_L26_V4.00_R1.0_s4226007
103,26,4.0,1.00,4226008,reused_original_rigorous,raw/rigorous/task_0199_L26_V4.00_R1.0_s4226008
104,26,4.0,1.00,4226009,reused_original_rigorous,raw/rigorous/task_0200_L26_V4.00_R1.0_s4226009
105,26,4.0,1.00,4226010,reused_original_rigorous,raw/rigorous/task_0201_L26_V4.00_R1.0_s4226010
106,26,4.0,1.00,4226011,reused_original_rigorous,raw/rigorous/task_0202_L26_V4.00_R1.0_s4226011
107,26,4.0,1.00,4226012,reused_original_rigorous,raw/rigorous/task_0203_L26_V4.00_R1.0_s4226012
108,26,4.1,0.25,4226001,new_r025,raw/rigorous_compatible/task_0036_L26_V4.1_R0.25_s4226001
109,26,4.1,0.25,4226002,new_r025,raw/rigorous_compatible/task_0037_L26_V4.1_R0.25_s4226002
