observable,ED,QMC_pooled,pooled_error,z_score,status,estimator
S_pi,0.11689827700904518,0.11590873688560695,0.0017104071053962167,-0.5785406996476441,PASS,seed mean
S_pi_dq,0.052973336858515775,0.053368696809841895,0.000616981247057731,0.6407973552057185,PASS,seed mean
R_cdw,0.5468424495733424,0.5395627780629453,0.012120072108523006,-0.6006293894306068,PASS,ratio of pooled S_pi_dq and S_pi; leave-one-chain jackknife error
