R_cdw_mean,R_cdw_seed_stderr,S_pi_dq_mean,S_pi_dq_seed_stderr,S_pi_mean,S_pi_seed_stderr,acceptance_mean,acceptance_seed_stderr,adaptive_rebuild_count_sum,average_sign_mean,average_sign_seed_stderr,diagnostic_R_cdw_abs_diff_max,diagnostic_S_pi_abs_diff_max,diagnostic_relative_frobenius_max,diagnostic_sign_mismatch_count,group,guard_trigger_fraction_mean,max_observable_imag,max_sign_imag,n_seeds,runtime_seconds_mean,runtime_seconds_seed_stderr,seed,sign_corrections_sum
0.09020032022716518,nan,0.060828436469638196,nan,0.06685915352797911,nan,0.6869654166666667,nan,80049.0,0.0732,nan,5.294745071271478e-07,2.8460142555142287e-08,2.0976092752543307,7.0,guard_on_diagnostics,0.028524242424242424,0.11095145626902174,0.9401462552056613,1,419.924071207,nan,970026,6.0
0.9873057330578167,nan,0.0022267215974393234,nan,0.17541159387785377,nan,0.6840797916666667,nan,79820.0,0.0516,nan,2.4137647185451527e-06,1.1447247619256196e-07,5.169009696027101,6.0,guard_on_diagnostics,0.02846780303030303,14.33802558342415,0.837644857283831,1,425.067326371,nan,970029,13.0
-0.05377914008419493,nan,0.06326975069547698,nan,0.06004080768805298,nan,0.68640875,nan,78982.0,0.0468,nan,5.718712302149598e-06,2.683879233439379e-07,2.334060131712389,11.0,guard_on_diagnostics,0.028198863636363636,0.00014191357741723314,0.9958746980708245,1,642.959118191,nan,970032,5.0
0.7581844491911794,nan,0.03457818252589124,nan,0.1429940399210668,nan,0.656263125,nan,97925.0,-0.0188,nan,0.3464136685349425,0.06910469171871225,2.302285172654444,12.0,guard_on_diagnostics,0.034127651515151514,0.020510599293939582,0.99999999481722,1,705.218398319,nan,970033,57.0
0.49940829647161356,nan,0.052215528232085286,nan,0.10430761809284432,nan,0.6636166666666666,nan,94921.0,0.0336,nan,0.31790266584726523,0.08671429066988157,1.5132499736578342,11.0,guard_on_diagnostics,0.03338484848484848,0.005262587764838883,0.9997732210378727,1,717.387624053,nan,970034,40.0
2.2768519602774657,nan,0.052424296421580655,nan,-0.04105745854060373,nan,0.6660447916666666,nan,93447.0,0.002,nan,0.004871478819966635,0.0017658690860266335,3.5288093045004825,8.0,guard_on_diagnostics,0.03310568181818182,0.00019326874821980967,0.9998915741320796,1,715.811741543,nan,970035,32.0
0.05851412360814867,nan,0.0641934073743937,nan,0.06818308057940115,nan,0.665951875,nan,93233.0,0.0304,nan,0.004074896585332555,0.0018987974316597156,1.315860721797758,8.0,guard_on_diagnostics,0.03310189393939394,0.0010941410942074347,0.9858783985717812,1,707.167596384,nan,970036,31.0
0.6405297244579188,nan,0.05134256780089342,nan,0.1428284097300363,nan,0.66174625,nan,97102.0,0.0076,nan,0.016797316165301335,0.00511858594183362,1.5483938603183844,11.0,guard_on_diagnostics,0.0339875,180.72075414316132,0.9999447650022925,1,499.963826545,nan,970037,48.0
-7.024059389953813,nan,0.10291984445058963,nan,0.012826406118011304,nan,0.6581372916666667,nan,96005.0,0.0224,nan,0.6018783363850356,0.441747089831148,3.1342547972688477,11.0,guard_on_diagnostics,0.033749242424242425,0.0027596280833108713,0.9999431498927119,1,739.775359543,nan,970038,47.0
6.792929503382857,nan,-0.20435663297444118,nan,0.03527690659019835,nan,0.6696972916666667,nan,96722.0,0.0376,nan,0.3032654666529798,0.057028320166387286,3.365748830900608,10.0,guard_on_diagnostics,0.03376325757575758,863.1840203497114,0.9988744912698375,1,497.929034503,nan,970039,34.0
24.45937218477404,nan,16.994019585884462,nan,-0.7244021473393981,nan,0.6625102083333333,nan,97436.0,0.0028,nan,0.0428478851707933,0.00858265086500748,0.995067308353354,15.0,guard_on_diagnostics,0.0340375,213606.79136708938,0.9999991138107565,1,530.081030466,nan,970040,48.0
