L,fast_hs_hash,slow_hs_hash,fast_average_z2,slow_average_z2,fast_slow_reference_count,audit_slow_reference_count,ratio_error_max,green_error_max,trajectory_mismatch
2,5170713698828598529,5170713698828598529,1,1,0,120,1.766035525775523e-15,3.986092725230266e-12,0
4,18295536889450853501,18295536889450853501,1,1,0,120,4.0996620564170384e-15,1.0127797567101803e-12,0
