proposal,branch,index,block_boundary,stale_injected,uniform,new_ratio_real,new_ratio_imag,phase3e_ratio_real,phase3e_ratio_imag,legacy_ratio_real,legacy_ratio_imag,ratio_error_phase3e,ratio_error_legacy,z2_new,z2_phase3e,z2_legacy,status_match,precision_match,decision_new,decision_phase3e,decision_legacy,pre_residual_new,pre_residual_legacy,post_residual_new,post_residual_legacy,restore_count,saved_factors,legacy_fallbacks,status
40,ket,24,1,0,0.60116143118458776,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,208,0,PASS
41,bra,67,0,0,0.94087203372366301,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,160,0,PASS
42,bra,80,1,0,0.099317116886140436,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,208,0,PASS
43,bra,107,0,0,0.037914275553600649,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,192,0,PASS
44,ket,52,0,0,0.043970979825100134,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
45,bra,111,0,0,0.87921839694294845,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
46,bra,88,1,0,0.64434432144799647,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,208,0,PASS
47,bra,99,0,0,0.23446704644346678,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,224,0,PASS
48,ket,16,1,0,0.68681661510637693,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,80,0,PASS
49,bra,91,0,0,0.056276943264612266,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,96,0,PASS
