task,proposal_index,uniform,pre_hash,ratio_real,ratio_imag,ratio_z2,decision,expected_decision,precision_digits,converged,pre_endpoint_rcond,post_endpoint_rcond,reference_seconds,continued_proposals,final_hash,mp_fallback_count,mp_fallback_failures,status
4,146,0.52928038756354223,7807527216050905631,0.70741914065425615,4.4830593504990296e-17,1,accept,accept,320,1,0.00045175996375397439,0.00032299541402542974,1.0415541159999999,64,949208207496548183,10,0,PASS
8,553,0.56577673777691728,5178673164861548103,0.0026573889530685144,1.8269508062180847e-17,1,reject,reject,320,1,7.0244234890011034e-05,2.530549766298077e-07,1.043516332,64,14005514076608941581,68,0,PASS
