L,boundary,theta,ED_energy,MC_energy,energy_abs_diff,ED_parity,MC_parity,parity_abs_diff,ED_S_pi,MC_S_pi,S_pi_abs_diff,ED_R_CDW,MC_R_CDW,R_CDW_abs_diff,average_z2,green_rebuild_error_max,slow_reference_count,slow_reference_failure_count
4,pbc,2,-4,-3.9259963513089398,0.07400364869106024,-1,-1,0,0.25000000000000006,0.25,5.551115123125783e-17,2.220446049250313e-16,0,2.220446049250313e-16,1,1.0313437845093244e-14,15,0
4,pbc,4,-4,-3.894587151248701,0.10541284875129886,-1,-1,0,0.25000000000000006,0.25,5.551115123125783e-17,2.220446049250313e-16,0,2.220446049250313e-16,1,5.0778317587479014e-15,15,0
4,pbc,8,-4,-4.027031107808698,0.027031107808697996,-1,-1,0,0.25000000000000006,0.25,5.551115123125783e-17,2.220446049250313e-16,0,2.220446049250313e-16,1,8.300423086785884e-15,15,0
4,pbc,12,-4,-3.997326010084446,0.0026739899155541202,-1,-1,0,0.25000000000000006,0.25,5.551115123125783e-17,2.220446049250313e-16,0,2.220446049250313e-16,1,5.9973130727303145e-15,15,0
6,obc,2,-5.029288160662068,-4.93286555921439,0.09642260144767789,1,1,0,0.2917421569673027,0.27061723894826734,0.021124918019035377,0.07844458779090646,0.02727616751785389,0.05116842027305257,1,4.786754709680937e-15,15,0
6,obc,4,-5.029288160662068,-5.028659375350315,0.0006287853117532549,1,1,0,0.2917421569673027,0.3047392015891268,0.012997044621824105,0.07844458779090646,0.13796374616371676,0.0595191583728103,1,5.068639039089199e-15,15,0
6,obc,8,-5.029288160662068,-4.547235170459326,0.4820529902027415,1,1,0,0.2917421569673027,0.24329434645991435,0.04844781050738836,0.07844458779090646,-0.2692599804777194,0.34770456826862584,1,4.795284195130975e-15,15,0
6,obc,12,-5.029288160662068,-4.970119744139065,0.05916841652300242,1,1,0,0.2917421569673027,0.2943850492272856,0.0026428922599828764,0.07844458779090646,0.12767667015100204,0.049232082360095575,1,6.173999597072196e-15,15,0
