task,L,V,seed,attempt,initialization_policy,initialization_success,initial_z2,center_overlap_rcond,center_solve_residual,center_green_residual,proposals,accepted,independent_field_mismatches,mp_fallback_count,mp_fallback_failures,endpoint_rebuild_residual_max,final_hash,status
16,12,4,712041,27,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.1049179240857896e-16,2.2262566267889198e-15,64,47,7,0,0,2.2262566267889198e-15,14566728760996391849,PASS
16,12,4,712041,28,mirrored_theorem_z2_plus,1,1,0.99999999999999911,8.2681263759889134e-16,2.2877794585059246e-15,64,45,3,0,0,2.2877794585059246e-15,7874942592022611777,PASS
16,12,4,712041,29,mirrored_theorem_z2_plus,1,1,0.99999999999999878,9.1901751295336856e-16,2.5818691537184206e-15,64,42,6,0,0,2.5818691537184206e-15,8076285205062655299,PASS
16,12,4,712041,30,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.9579376582472535e-16,2.1843335149642582e-15,64,49,3,0,0,2.1843335149642582e-15,8494576405532529237,PASS
16,12,4,712041,31,mirrored_theorem_z2_plus,1,1,0.99999999999999956,6.3071814458131105e-16,1.6935200893586091e-15,64,46,8,0,0,1.6935200893586091e-15,3361251575173229419,PASS
16,12,4,712041,32,mirrored_theorem_z2_plus,1,1,0.99999999999999878,8.3715724860201352e-16,2.3407063672872493e-15,64,48,4,0,0,2.3407063672872493e-15,9646660252298233503,PASS
16,12,4,712041,33,mirrored_theorem_z2_plus,1,1,0.99999999999999911,8.3042592612422038e-16,2.2872263436228001e-15,64,53,7,0,0,2.2872263436228001e-15,7680958140386232409,PASS
16,12,4,712041,34,mirrored_theorem_z2_plus,1,1,0.99999999999999889,9.9635648489006072e-16,2.796995866271351e-15,64,38,6,0,0,2.796995866271351e-15,4845625396390556555,PASS
16,12,4,712041,35,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.2256759419968559e-16,2.0229206954382454e-15,64,39,5,0,0,2.0229206954382454e-15,6376258258159224105,PASS
16,12,4,712041,36,mirrored_theorem_z2_plus,1,1,0.99999999999999944,7.7548821526288743e-16,2.2265236819594527e-15,64,37,7,0,0,2.2265236819594527e-15,3254170750957054901,PASS
16,12,4,712041,37,mirrored_theorem_z2_plus,1,1,0.99999999999999867,8.6070514052452952e-16,2.4141009193908153e-15,64,40,4,0,0,2.4141009193908153e-15,11504978106575640959,PASS
16,12,4,712041,38,mirrored_theorem_z2_plus,1,1,0.99999999999999867,7.4890889770819575e-16,2.0879073700093757e-15,64,47,9,0,0,2.0879073700093757e-15,17582277646315996169,PASS
16,12,4,712041,39,mirrored_theorem_z2_plus,1,1,0.99999999999999878,9.6152090466568975e-16,2.6755280436511428e-15,64,49,11,0,0,2.6755280436511428e-15,8259243401595030033,PASS
16,12,4,712041,40,mirrored_theorem_z2_plus,1,1,0.99999999999999922,6.9382180279889493e-16,1.9321547968752352e-15,64,46,8,0,0,1.9321547968752352e-15,6255207861223982499,PASS
16,12,4,712041,41,mirrored_theorem_z2_plus,1,1,0.99999999999999889,9.6974339070744044e-16,2.7038580068313572e-15,64,46,10,0,0,2.7038580068313572e-15,17183473294665103839,PASS
16,12,4,712041,42,mirrored_theorem_z2_plus,1,1,0.999999999999999,7.348905198337169e-16,2.0511025677501565e-15,64,51,5,0,0,2.0511025677501565e-15,6326237794653643137,PASS
16,12,4,712041,43,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.067021609551006e-16,2.327480545259301e-15,64,45,5,0,0,2.327480545259301e-15,1272048438425498249,PASS
16,12,4,712041,44,mirrored_theorem_z2_plus,1,1,0.99999999999999845,8.8494485887871484e-16,2.4187763566959039e-15,64,47,7,0,0,2.4187763566959039e-15,8354658052882672521,PASS
16,12,4,712041,45,mirrored_theorem_z2_plus,1,1,0.99999999999999922,8.8967118431712049e-16,2.5324884652150274e-15,64,47,7,0,0,2.5324884652150274e-15,15248723150054454017,PASS
16,12,4,712041,46,mirrored_theorem_z2_plus,1,1,0.99999999999999867,7.5639517817808778e-16,2.156662440626278e-15,64,46,10,0,0,2.156662440626278e-15,15343111103411218491,PASS
16,12,4,712041,47,mirrored_theorem_z2_plus,1,1,0.999999999999999,7.8597898322524863e-16,2.1916526610383831e-15,64,45,5,0,0,2.1916526610383831e-15,17885068617941977189,PASS
16,12,4,712041,48,mirrored_theorem_z2_plus,1,1,0.99999999999999944,8.266006593468025e-16,2.3059059856165863e-15,64,46,6,0,0,2.3059059856165863e-15,6188772509461665503,PASS
16,12,4,712041,49,mirrored_theorem_z2_plus,1,1,0.99999999999999944,9.059889139878143e-16,2.5735914625413117e-15,64,47,3,0,0,2.5735914625413117e-15,1659513425939114965,PASS
16,12,4,712041,50,mirrored_theorem_z2_plus,1,1,0.99999999999999911,8.262550422291693e-16,2.3210752702766089e-15,64,49,5,0,0,2.3210752702766089e-15,11440433718602184481,PASS
16,12,4,712041,51,mirrored_theorem_z2_plus,1,1,0.999999999999999,7.5048755416870088e-16,2.1767428357808431e-15,64,47,7,0,0,2.1767428357808431e-15,17963374336624065757,PASS
16,12,4,712041,52,mirrored_theorem_z2_plus,1,1,0.999999999999999,7.9693561232291304e-16,2.2250906803434305e-15,64,42,12,0,0,2.2250906803434305e-15,6389538926309836883,PASS
16,12,4,712041,53,mirrored_theorem_z2_plus,1,1,0.99999999999999944,7.7638450622158876e-16,2.1348649742017481e-15,64,42,8,0,0,2.1348649742017481e-15,4999823073573934535,PASS
16,12,4,712041,54,mirrored_theorem_z2_plus,1,1,0.999999999999999,9.5666948563172742e-16,2.6996291347553184e-15,64,47,7,0,0,2.6996291347553184e-15,3470269214072001393,PASS
16,12,4,712041,55,mirrored_theorem_z2_plus,1,1,0.999999999999999,7.8436043410970559e-16,2.2170774494376619e-15,64,48,6,0,0,2.2170774494376619e-15,5372283290669714843,PASS
16,12,4,712041,56,mirrored_theorem_z2_plus,1,1,0.99999999999999933,7.2083278340114314e-16,1.9985222909798792e-15,64,44,6,0,0,1.9985222909798792e-15,15999333402561111267,PASS
16,12,4,712041,57,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.6954938786791818e-16,2.1451878071524725e-15,64,46,10,0,0,2.1451878071524725e-15,10658226456602134859,PASS
16,12,4,712041,58,mirrored_theorem_z2_plus,1,1,0.99999999999999933,9.3351220470647043e-16,2.6557361953232175e-15,64,53,9,0,0,2.6557361953232175e-15,15062723673563796529,PASS
16,12,4,712041,59,mirrored_theorem_z2_plus,1,1,0.99999999999999911,8.1073366666517719e-16,2.2661271444829827e-15,64,47,7,0,0,2.2661271444829827e-15,15354224536655391013,PASS
16,12,4,712041,60,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.7594226174491272e-16,2.2287377383831132e-15,64,50,4,0,0,2.2287377383831132e-15,2355090153323410931,PASS
16,12,4,712041,61,mirrored_theorem_z2_plus,1,1,0.99999999999999933,8.0519923842407865e-16,2.2010743538707287e-15,64,50,6,0,0,2.2010743538707287e-15,6540941286327866799,PASS
16,12,4,712041,62,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.142810147223649e-16,2.008670982458652e-15,64,46,6,0,0,2.008670982458652e-15,930282864561223223,PASS
16,12,4,712041,63,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.1555009966459147e-16,1.9744836579585887e-15,64,51,9,0,0,1.9744836579585887e-15,624458126520314365,PASS
16,12,4,712041,64,mirrored_theorem_z2_plus,1,1,0.99999999999999933,7.558729282175508e-16,2.1720375861554972e-15,64,43,5,0,0,2.1720375861554972e-15,10401860551266609969,PASS
16,12,4,712041,65,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.305517254638541e-16,2.3087930130208565e-15,64,43,11,0,0,2.3087930130208565e-15,5119094044816468001,PASS
16,12,4,712041,66,mirrored_theorem_z2_plus,1,1,0.99999999999999911,1.0756180406171469e-15,2.9630098731106194e-15,64,49,5,0,0,2.9630098731106194e-15,4825618261506668893,PASS
16,12,4,712041,67,mirrored_theorem_z2_plus,1,1,0.99999999999999922,6.6432348016293841e-16,1.9351629699671309e-15,64,46,8,0,0,1.9351629699671309e-15,8539907091529645119,PASS
16,12,4,712041,68,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.5280750345989512e-16,2.4033267511613146e-15,64,44,8,0,0,2.4033267511613146e-15,3813191986109405899,PASS
16,12,4,712041,69,mirrored_theorem_z2_plus,1,1,0.99999999999999922,9.6519638215594507e-16,2.7573900664639365e-15,64,52,8,0,0,2.7573900664639365e-15,12750205427509622987,PASS
16,12,4,712041,70,mirrored_theorem_z2_plus,1,1,0.99999999999999911,8.2516708981304557e-16,2.3190362194416121e-15,64,43,9,0,0,2.3190362194416121e-15,5527803253298637857,PASS
16,12,4,712041,71,mirrored_theorem_z2_plus,1,1,0.99999999999999967,7.972036661140662e-16,2.2259468177885973e-15,64,45,7,0,0,2.2259468177885973e-15,1789293558553366869,PASS
16,12,4,712041,72,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.4657924879766133e-16,2.1070360070062977e-15,64,45,13,0,0,2.1070360070062977e-15,9487047537480921309,PASS
16,12,4,712041,73,mirrored_theorem_z2_plus,1,1,0.99999999999999933,7.6930171491299849e-16,2.1156428750923311e-15,64,41,13,0,0,2.1156428750923311e-15,223353543702341881,PASS
16,12,4,712041,74,mirrored_theorem_z2_plus,1,1,0.99999999999999922,8.5430349829563284e-16,2.427442419807388e-15,64,43,7,0,0,2.427442419807388e-15,10440244289809040885,PASS
16,12,4,712041,75,mirrored_theorem_z2_plus,1,1,0.99999999999999889,8.9169198829473588e-16,2.484302150574201e-15,64,43,7,0,0,2.484302150574201e-15,12273439279274538845,PASS
16,12,4,712041,76,mirrored_theorem_z2_plus,1,1,0.99999999999999911,8.2584439271644294e-16,2.358047299445898e-15,64,48,8,0,0,2.358047299445898e-15,185771116419747327,PASS
16,12,4,712041,77,mirrored_theorem_z2_plus,1,1,0.99999999999999922,9.3948018824536528e-16,2.6973680956062769e-15,64,48,12,0,0,2.6973680956062769e-15,3493322384751017667,PASS
16,12,4,712041,78,mirrored_theorem_z2_plus,1,1,0.99999999999999922,8.2950216274641724e-16,2.3389115636844893e-15,64,44,6,0,0,2.3389115636844893e-15,7199274199573171971,PASS
