case,version,comparison_batch,hs_variables,total_proposals,fallback_count,fallback_failures,total_mp_seconds,average_mp_seconds,runtime_seconds,seconds_per_sweep,peak_rss_kib,thin_qr_seconds,propagation_seconds,subspace_validation_seconds,subspace_restore_count,subspace_restore_miss_count,subspace_restore_hit_rate,subspace_invalidations,saved_factor_count,legacy_oracle_fallback_count,max_endpoint_residual,final_hs_hash,final_rng_hash,status
L6_V4,phase3e_e171,controlled_two_process,720,2160,285,0,293.22146524599992,1.0288472464771927,302.55869853000002,100.85289951,31908,200.66095315199999,66.721819593000006,0,0,0,0,0,0,0,2.5813797673489134e-14,1373917324815753219,17096381715767491328,PASS
L6_V4,phase3f_subspace,controlled_two_process,720,2160,285,0,33.21108931499999,0.11653013794736838,47.350548796,15.783516265333334,36564,4.208222943000003,0.9053124530000005,1.700463788000001,1124,16,0.9859649122807017,332,539984,0,2.5813797673489134e-14,1373917324815753219,17096381715767491328,PASS
L6_V6,phase3e_e171,controlled_two_process,720,2160,756,0,761.74822222799912,1.0076034685555544,777.87880000400003,259.29293333466669,31272,515.23682564200033,180.06730028200016,0,0,0,0,0,0,0,8.4404869330236453e-09,13076883065274856967,804378037841557747,PASS
L6_V6,phase3f_subspace,controlled_two_process,720,2160,756,0,87.19208176900011,0.1153334414933864,106.878984027,35.626328009,36984,11.076380065999999,2.6064425729999976,4.416180508000004,2966,58,0.9808201058201058,714,1431808,0,8.4404869330236453e-09,13076883065274856967,804378037841557747,PASS
L6_V4,phase3f_subspace,solo_repeat,720,2160,285,0,30.83745763100001,0.10820160572280706,43.355248041,14.451749347000002,36884,3.8912261400000023,0.8372624120000006,1.577311954999999,1124,16,0.9859649122807017,332,539984,0,2.5813797673489134e-14,1373917324815753219,17096381715767491328,PASS
L6_V6,phase3f_subspace,solo_repeat,720,2160,756,0,82.87291744099997,0.10962026116534387,101.275865799,33.758621933,37420,10.654823573999993,2.4656828889999973,4.200400660999995,2966,58,0.9808201058201058,714,1431808,0,8.4404869330236453e-09,13076883065274856967,804378037841557747,PASS
