version,task,proposal_index,uniform,pre_hash,ratio_real,ratio_imag,ratio_z2,decision,precision_digits,pre_endpoint_rcond,post_endpoint_rcond,reference_seconds,continued_proposals,final_hash,mp_fallback_count,mp_fallback_failures,status
base_081d,4,146,0.52928038756354223,7807527216050905631,0.70741914065425615,-2.8573883519929106e-18,1,accept,320,0.00045175996375397521,0.00032299541402542925,1.376499205,64,949208207496548183,12,0,PASS
phase3e_cached,4,146,0.52928038756354223,7807527216050905631,0.70741914065425615,-2.8573883519929106e-18,1,accept,320,0.00045175996375397521,0.00032299541402542925,0.95003173299999999,64,949208207496548183,12,0,PASS
base_081d,8,553,0.56577673777691728,5178673164861548103,0.0026573889530685144,1.8269510759069694e-17,1,reject,320,7.0244234890017024e-05,2.5305497662982803e-07,1.4161685319999999,64,14005514076608941581,69,0,PASS
phase3e_cached,8,553,0.56577673777691728,5178673164861548103,0.0026573889530685144,1.8269510759069694e-17,1,reject,320,7.0244234890017024e-05,2.5305497662982803e-07,0.96079199299999996,64,14005514076608941581,69,0,PASS
