case,version,comparison_batch,hs_variables,total_proposals,fallback_count,fallback_failures,total_mp_seconds,average_mp_seconds,runtime_seconds,seconds_per_sweep,peak_rss_kib,cache_builds,cache_invalidations,operator_requests,cache_hits,cache_misses,cache_hit_rate,sparse_applies,dense_applies,canonicalization_seconds,mp160_seconds,mp320_seconds,mp640_seconds,conversion_seconds,propagation_seconds,thin_qr_seconds,endpoint_seconds,local_pfaffian_seconds,max_endpoint_residual,final_hs_hash,final_rng_hash,status
L6_V4,base_081d,controlled_four_job,720,2160,285,0,432.44284775600028,1.5173433254596491,442.198929432,147.399643144,31132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5813797673489134e-14,1373917324815753219,17096381715767491328,PASS
L6_V4,phase3e_cached,controlled_four_job,720,2160,285,0,300.55518135500012,1.0545795837017549,310.17604003299999,103.39201334433333,31628,285,285,547770,540360,7410,0.9864724245577523,547770,0,0.23768581800000005,82.615714079999989,217.69761070799987,0,0.43927400599999972,68.123155371999957,,10.770058296000002,14.896526649999997,2.5813797673489134e-14,1373917324815753219,17096381715767491328,PASS
L6_V4,phase3e_cached_stage_profile,controlled_two_job,720,2160,285,0,293.22146524599992,1.0288472464771927,302.55869853000002,100.85289951,31908,285,285,547770,540360,7410,0.9864724245577523,547770,0,0.23563431599999995,80.259173001000008,212.72189498299991,0,0.42693778599999971,66.721819593000006,200.66095315199999,10.381903817000005,14.373279764999996,2.5813797673489134e-14,1373917324815753219,17096381715767491328,PASS
L6_V6,base_081d,controlled_four_job,720,2160,756,0,1137.752242944,1.5049632843174603,1154.544172742,384.84805758066667,31036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4404869330236453e-09,13076883065274856967,804378037841557747,PASS
L6_V6,phase3e_cached,controlled_four_job,720,2160,756,0,795.4980081070006,1.0522460424695774,811.98108227600005,270.66036075866669,31316,756,756,1453032,1433376,19656,0.9864724245577523,1453032,0,0.6481108149999999,217.78494091800007,577.05394782699909,0,1.2197214399999994,188.94116517099997,,28.154335451999955,38.640649785000008,8.4404869330236453e-09,13076883065274856967,804378037841557747,PASS
L6_V6,phase3e_cached_stage_profile,controlled_two_job,720,2160,756,0,761.74822222799912,1.0076034685555544,777.87880000400003,259.29293333466669,31272,756,756,1453032,1433376,19656,0.9864724245577523,1453032,0,0.61384117399999982,212.8862439709998,548.23538563399984,0,1.1403623009999995,180.06730028200016,515.23682564200033,26.639002229999992,36.909601707000007,8.4404869330236453e-09,13076883065274856967,804378037841557747,PASS
