     (1.0000000000000002,-8.3522268893054314e-17)        (2.54353778104281e-16,0.97439886069501502)     (-0.12832514578987061,7.0362559087383095e-17)     (-7.3525649373928804e-17,0.14402031903495538)    (0.050988676170162547,-1.6241474030200233e-16)    (2.7208049904831543e-16,-0.042767478079298621)    (-0.065163658753277259,5.8305678818043216e-17)   (-9.3836221189464641e-17,-0.010540177166879168)    (-0.16423540699648509,-9.7513810410109887e-17)     (1.4537083371278231e-16,-0.27955610299648337)  (-1.0611177891900658e-16,3.0354190928013307e-16)    (2.0637326961074846e-16,1.750156929849356e-16)   (7.268437373449778e-17,-1.9390929782536643e-16)  (-1.226826486584641e-16,-1.5341471403416441e-16)  (-1.9251761961414403e-16,1.1553682943665478e-16)   (7.7408446565353353e-17,1.6729457375030126e-16)    (-2.007119066108529e-17,8.261838280482142e-18)  (-3.9214494820164838e-17,-1.157184257914197e-16)  (-1.8383856634120722e-16,1.8510429710760659e-16) (-3.6993215452763412e-17,-1.1171723924440563e-16)
    (4.8035481058321875e-17,-0.97439886069501502)      (0.99999999999999978,1.6134459470643211e-17)     (-1.7395728135745722e-16,0.16728681671691495)     (0.12618845614010601,-7.5136645768132228e-17)    (3.1404455544477875e-16,-0.012926805501225174)    (-0.060927796418921411,1.1634073455264339e-16)   (-1.7594033993904866e-18,-0.052102949697012985)   (-0.0065406643602048536,8.4314830286895006e-18)       (2.358306647895542e-16,-0.2522254377444082)      (0.15575303067082816,1.6091760610144704e-16)  (3.6462308989031346e-17,-1.2961774953296889e-16) (-8.6815692559584129e-17,-5.4633812720025895e-18)   (1.7840465021357211e-16,2.2423378599659047e-16)   (1.1511802613416686e-16,2.0986078873887339e-17)  (-3.6248970583012045e-16,-3.422134009681346e-16)  (-2.6923451876639067e-16,2.9956568183037605e-16) (-2.9371614672752366e-16,-1.0253730073546092e-16)  (2.6410115794063747e-16,-4.9331093732084412e-16)  (4.9427335042601825e-17,-4.5632589608518547e-17)  (1.7442258305956045e-17,-4.2560728474683119e-17)
    (0.12832514578986981,-4.0379178774389634e-16)     (2.5682022990731161e-16,-0.16728681671691573)                       (1,-2.1340993383975429e-17)      (9.8029301541248496e-17,0.99454117753735116)   (-0.071729580677549337,-3.8089819413358092e-16)   (-2.2085170255894647e-16,-0.040086885668683771)    (-0.048541071945001013,7.6377101082215322e-18)    (5.2169285576939652e-17,-0.012614139591743087)    (-0.020339712741763008,-8.500228651596837e-17)    (1.7899910353908814e-16,-0.074292043023428622)  (-1.2208299569834805e-17,1.1376446334705171e-16)  (2.0261054012171597e-16,-4.2590105512723669e-17)  (-5.4569930319029481e-17,1.7525634624894143e-16)  (1.1178284378112381e-16,-4.8940437929504338e-17)   (5.525396107817351e-17,-4.3082152913679358e-17)  (8.3008706487205522e-18,-7.5447506118154057e-17)  (-5.7563216161253252e-18,2.3331371672590101e-17)   (1.1691927838192112e-17,2.0450373414688557e-17)  (7.4671842753798397e-17,-6.3754147042278787e-17)     (6.502226207081429e-17,1.376359975042442e-16)
    (1.9659566839285338e-16,-0.14402031903495538)     (-0.12618845614010446,4.4712415930003021e-16)     (-3.3738391902948775e-17,-0.9945411775373515)       (1.0000000000000004,9.3008521889745069e-17)   (-9.0886268258159588e-17,-0.034959057685548509)     (0.069992429057410682,3.8023488432455784e-16)   (-8.0259128455131269e-18,-0.028662876037439857)    (0.029500133033073882,-8.0403351656861087e-17)     (1.8276269804986745e-16,-0.12720169892771849)      (0.07990775954695481,8.9959957186779419e-17)   (1.0016549815640626e-16,2.2915529179360722e-17)  (8.9162624067733426e-18,-1.5375329562966323e-16)  (2.4027968767017001e-16,-7.2340749553759501e-17)   (3.3111539969806716e-17,8.5039304322288437e-18) (-4.8774005314111268e-17,-1.0779644464227904e-16)  (-3.2872638613641841e-17,2.1006063555703597e-18) (-3.7772326481342725e-17,-3.9902239273577666e-17)     (2.6273270028068e-17,-4.6837589917271741e-17) (-5.8151036680203696e-17,-7.4794802100161907e-17)  (5.0474551136811455e-17,-1.0772614694430486e-17)
  (-0.050988676170162055,-1.0172515634157932e-16)    (-4.5361344491452264e-16,0.012926805501225767)    (0.071729580677547686,-5.8832810820031066e-17)     (8.7442774457053851e-17,0.034959057685548016)       (1.0000000000000004,2.2324850532050793e-16)       (2.6432017792995428e-16,1.0048560921480829)    (-0.12979110352609347,-1.6700917284043241e-16)   (-1.7437983652213329e-16,-0.074347687393298237)  (-0.0071455492425090243,-7.9926720655326661e-16)    (1.6781065779960389e-16,-0.089382239885300668)  (8.7926667222255291e-17,-2.6802467604010513e-16)  (-5.1707642580334988e-16,-4.689272160553622e-17)   (5.7123122772613229e-17,5.3476680813723868e-17)  (-5.6644715450132718e-17,9.8189704395602461e-17)  (3.4982064601271292e-16,-3.9433945196307259e-16) (-8.4103260444425036e-17,-7.8544141769528837e-17)  (5.0809550896616557e-17,-2.3790967393293489e-16)   (9.7209876504746535e-17,6.2254579439726274e-18) (-8.4326268147509271e-17,-1.9583853524027472e-16)  (-1.5711381501339506e-16,-1.386223701408336e-17)
     (-3.437670359457474e-16,0.04276747807929869)     (0.060927796418920398,2.8203185254723268e-16)     (1.1469179120324261e-16,0.040086885668683132)    (-0.069992429057409281,7.3360833708534829e-17)      (3.4211758705385258e-16,-1.0048560921480847)     (0.99999999999999967,-1.8642011990356157e-16)    (5.2823400708618324e-17,-0.076400192907776998)      (0.10927768231972479,2.1785162322557368e-16)   (-9.5390293023919904e-19,-0.041249045032369897)     (0.012550147031952718,7.2292513381578418e-16) (-3.7224333995086432e-16,-5.1586331305481399e-17)   (9.1821063601041749e-18,3.3896076381561227e-17)   (-2.7938593587308476e-16,4.719288301126113e-17)  (-3.1806906571778146e-16,2.5250984726949353e-16)  (-3.4653607159710277e-17,6.8583733399052956e-17)  (-3.4528345871585118e-17,4.6657546890727323e-17)  (2.2480536889799114e-16,-3.9673128051974397e-17)  (-3.8989868107824716e-17,4.3110783938991905e-16)  (5.9560324495535349e-17,-1.8151672173335858e-17)   (-1.4861137915067647e-16,1.539698416756895e-16)
    (0.06516365875327719,-1.5856324044501632e-16)     (-1.2819184980009188e-16,0.05210294969701236)    (0.048541071945000756,-2.2108045691325211e-16)     (2.0564147461910291e-16,0.028662876037439437)     (0.12979110352609236,-1.3032280677034882e-17)     (1.7241481825817747e-16,0.076400192907775236)      (1.0000000000000018,-6.3564352317374773e-16)         (4.6910452383311453e-16,1.04103693470849)    (-0.26421173661037778,-3.1913230572689065e-16)    (2.0023372834067311e-16,-0.011177810379674842)  (-1.238091205504697e-16,-2.7608116617343644e-16)   (1.2844159591764864e-16,1.5682174712774061e-16)   (1.5831864621712849e-16,1.7940948965737955e-16) (-3.1239442988876916e-16,-2.6213955669502645e-16) (-3.7924900918701837e-16,-5.8685229957205547e-17)  (-1.1803968226783005e-16,2.9728361103242887e-16) (-5.6744022537052182e-17,-9.6845805760430409e-17)  (1.2291966836483969e-16,-2.4676340611339386e-16)  (-1.2538966047274217e-16,1.6457922830990845e-16)   (1.365125555760115e-16,-3.3208758312613338e-17)
    (7.7838436864571342e-17,0.010540177166878904)    (0.0065406643602048346,1.5794152385677043e-16)     (2.7949853852405877e-16,0.012614139591742787)    (-0.029500133033073635,3.4457212901204086e-16)     (1.1605101230345848e-16,0.074347687393297168)    (-0.10927768231972368,-3.4826369749596885e-17)      (3.9517747756622177e-16,-1.0410369347084865)      (0.99999999999999822,4.7749253789094638e-16)  (-3.8023809839387603e-17,-0.0037877832246703122)      (0.27697542750659793,1.9096601453057792e-16)   (2.7634633062512663e-16,-2.292910679708147e-18) (-1.4975816506287337e-16,-9.3244518895175342e-17)  (-1.9146252155762785e-16,4.9841459545664703e-17)   (1.1033088679646108e-16,1.0885296104853936e-16) (-4.4642491915448366e-17,-1.8108196516801294e-16) (-1.6008955786582696e-16,-6.9938288927567581e-17)    (1.074217935273515e-16,2.2147633422587035e-17)   (3.2926335316561395e-17,2.9326546507532173e-16)   (9.2997802127575743e-17,-2.022524703163161e-16)  (-7.8272630668431731e-18,3.2409863350015901e-16)
     (0.16423540699648467,2.6433701600233516e-16)     (-1.6276323223761837e-16,0.25222543774440742)      (0.020339712741762331,2.744045370234548e-16)     (-4.1982043854329651e-16,0.12720169892771799)   (0.0071455492425076331,-1.7508806353199216e-16)     (3.9707259412730792e-16,0.041249045032368224)       (0.264211736610376,-6.4413499841007349e-16)    (3.6608283514330251e-16,0.0037877832246685818)     (0.99999999999999944,-5.5744807131811673e-16)       (6.1941095184176565e-16,1.0078353538871088)  (-4.9898628805296983e-16,1.8187912248177462e-16)   (6.3323190159020385e-16,1.6692351799363993e-16)  (2.4373927059829186e-16,-1.9507655053810336e-16) (-6.6038109379937914e-16,-4.8146908154234828e-16)  (-6.9419510241720551e-16,6.5932731175010714e-16)   (3.0743683647287214e-16,4.5185559051369608e-16)  (-1.7720590044553757e-16,4.3733484888627672e-16)  (-6.907052504815207e-16,-5.1365904408540701e-16)  (-8.8914341797466985e-17,6.3385574922959626e-16) (-1.2547673046944917e-16,-4.2767506877728185e-16)
    (-2.8016425861084225e-16,0.27955610299648287)    (-0.15575303067082755,-1.1454198288232952e-16)    (-2.7551996935351547e-16,0.074292043023428234)   (-0.079907759546954352,-2.7429604507985349e-16)      (3.4479683916313186e-16,0.08938223988529892)    (-0.012550147031951025,2.1923287422708795e-16)     (6.9089150021265688e-16,0.011177810379674025)     (-0.27697542750659743,6.2715809331601376e-16)      (4.4685626689764791e-16,-1.0078353538871105)       (1.0000000000000007,6.7449095754028936e-16) (-1.1084164937169925e-16,-5.0162783911236328e-16)  (-1.5811290172183133e-16,4.7960972297263454e-16)   (3.0061490892962291e-16,2.9607074155751007e-16)  (5.0836069122855039e-16,-4.8667891469229381e-16) (-9.2555739990751441e-16,-7.8019323459571053e-16)   (-5.042091140898273e-16,4.0791392686564701e-16) (-5.7727065892699533e-16,-1.9591221677485693e-16)    (5.5988342071319742e-16,-7.66231737718917e-16) (-3.5443322190346509e-16,-6.1814352953840029e-17)   (3.7200499002033207e-16,2.7348464990581939e-16)
