     (1.0000000000000051,-3.1326805353854242e-15)       (1.1140285316942586e-17,1.4834869466869436)       (1.0560012951737434,6.0676466562358939e-16)      (-1.1127238881591976e-15,-0.611891578606651)     (0.71757662079960449,-2.4203844295104007e-16)     (2.8841719348982655e-17,-0.55909726929215653)      (0.73890702051249058,5.3236435320830425e-16)     (-1.2033291255975558e-15,0.21113521173043703)      (0.33921678436540509,3.2493204973433606e-17)      (4.7833655137896005e-16,0.59899406905448149) (-2.3369377904877591e-16,-8.5059851065972628e-16)   (2.1093967209752574e-15,7.7097458025858619e-16)  (9.3147501224514193e-16,-1.6994559256005008e-15) (-1.2161145115114835e-15,-7.3359352341177324e-16)  (-1.659823971440906e-15,-1.3676701544729261e-15)  (-1.5725367747324301e-15,1.5543279214519968e-16)  (1.8147283637170571e-16,-3.3136843470468454e-15) (-3.3614205501206728e-15,-4.1826254387088381e-16) (-2.2731539000516542e-16,-3.9417587406711777e-15)  (3.7485293249625941e-15,-2.1761093759544056e-16)
     (3.5678248635346975e-15,-1.4834869466869249)      (0.99999999999998157,4.8716773601744897e-15)     (3.4058884318917659e-15,-0.49263864602723023)    (-0.91145027503329523,-3.5345665726535774e-15)     (2.8908190972945906e-15,-0.24187551223034198)    (-0.49735495603302837,-2.4758680245591629e-15)      (1.4590312574148193e-15,0.12179821318500761)    (-0.79997198047915341,-2.7441107694034383e-15)      (1.8069333426469444e-15,0.65380579352435042)     (-0.47557146113608739,2.0694261974495224e-15)  (-1.6297436032873132e-16,-1.169975460645163e-16)  (-8.4485190560876432e-16,-6.037697423855769e-16)  (-7.5872627820822264e-16,1.1871277117555232e-15)   (1.1016107214497461e-15,3.2172472776875281e-15) (-4.2953259901113701e-15,-1.9619627730639866e-15)  (-5.9751347267579715e-16,3.1322095400926515e-15)  (-2.6808538661164854e-15,1.1874774677944086e-16)   (6.5277248345739759e-16,2.2924698012101876e-15)  (-2.3733581931820976e-15,1.2922680308681165e-16) (-2.1827642907094029e-16,-1.9285403878438131e-15)
    (-1.0560012951737263,-3.3371160582354073e-15)      (3.4703832287673496e-15,0.49263864602725194)      (1.0000000000000033,-2.5617631078992629e-15)      (-2.7752566317969225e-15,1.2595073878299046)    (-0.35410201454663592,-2.2445264892147864e-15)     (-1.9706148497226024e-15,0.57387232126171395)    (0.082328400318123357,-9.1190204219131135e-16)     (-2.2444408571404574e-15,0.53608333819173337)     (0.63224547294069522,-1.1967686479660414e-15)      (1.5744657806242017e-15,0.44863436505834176)  (1.8812848231732273e-17,-4.1704096024906152e-17)  (-3.2893695550994171e-16,3.5574320779961997e-16)    (4.471457097440497e-16,9.8109744544126332e-16)   (2.855896237214968e-15,-3.2043367763895597e-16)  (-1.9291242251597097e-15,3.2781857095309115e-15)   (1.8840764986724334e-15,5.3749381325619929e-16)   (2.7284178265793941e-16,1.2247181676842012e-15)    (9.6914295091838641e-16,-6.25729719900277e-16)  (-4.8145575752027817e-17,1.0830057463699558e-15)  (-8.8144058049818881e-16,4.8134396206425742e-17)
    (-1.5706897229644805e-15,0.61189157860665255)     (0.91145027503331755,-1.0714411388804718e-15)     (-8.5688649457840122e-16,-1.2595073878299241)       (1.0000000000000033,1.0496151484774716e-15)     (-7.6599524017767129e-16,0.33350205677119998)      (0.35352552563762302,1.1643962185084297e-15)   (-5.4645007260167532e-16,-0.077978443987404777)      (0.32660368464645756,1.0183774204627125e-15) (-3.2580284828028911e-16,-0.00020006257026705971)     (-0.1252301706248076,-5.4971536325990521e-16)   (-2.078881269935689e-16,2.7872172704041497e-16)   (6.1066083624015284e-16,3.0975875212419397e-16)  (8.5047085039387908e-16,-2.9654370099346865e-16)  (2.0518996703902644e-16,-1.7094674863888731e-15)    (1.793896005320383e-15,1.0004833525687368e-15)  (1.1889368557069183e-16,-7.5837013257760637e-16)    (1.3366085967093942e-16,1.011028440415262e-16) (-1.3021681844322142e-17,-2.0821363956245477e-17)  (3.6237930123968344e-16,-2.4790201673824665e-16)   (9.5178889511612765e-17,2.5756977473502675e-16)
   (-0.71757662079959661,-2.2405126991128558e-15)      (2.0270668054339924e-15,0.24187551223036294)     (0.35410201454665036,-1.7002910185979698e-15)    (-1.1931613633082219e-15,-0.33350205677120004)      (1.0000000000000029,-1.3367044546676038e-15)      (-1.6250144354527816e-15,1.0192972522854096)     (-0.37898450712860604,-1.059215656601423e-15)      (-1.782067869570151e-15,0.75685130974603421)     (-0.2138796906386099,-7.4991154732454048e-16)      (8.901474510147987e-16,-0.21945396619332302) (-5.1634521852645109e-16,-1.8176652375044001e-16)  (-2.3280478998064853e-16,3.2384861537904548e-16)  (-7.2860262319617997e-16,1.0479771656962422e-15)   (1.8378323678916514e-15,1.6472580929414835e-15)  (-2.3189978291635349e-15,1.9428993297441844e-15)   (6.4384398676846118e-16,1.8607728596155983e-15) (-1.8116257386142504e-15,-1.9454582255992536e-16)  (-3.5571486856653987e-16,9.1415177530129177e-16)  (1.9782910904035511e-16,-1.9142653576267691e-16)  (1.7213231302375145e-16,-7.3752952073537778e-17)
     (2.6871328024643047e-16,0.55909726929216197)       (0.49735495603303781,6.931674184817479e-16)     (1.8777803526735169e-16,-0.57387232126172172)     (-0.35352552563761841,2.1292525577188241e-16)     (-9.2942941733924228e-16,-1.0192972522854133)       (1.0000000000000058,3.9368854344331529e-16)     (-4.1965699176149164e-16,0.38136644324322566)      (0.67581682613048699,5.8788067198574145e-16)     (-8.2367036341674449e-17,0.17685177908821892)     (-0.16891527432087389,6.2558436439462361e-17) (-3.1571473193606552e-16,-1.9585139810148076e-17)  (-1.2046037466488905e-15,5.9410029520118623e-16)   (1.5089764746410905e-15,1.9606552665004646e-15)  (2.2241301252167783e-15,-2.1195890692595763e-15)    (1.181783112797746e-15,2.0649583597540425e-15)   (1.6364954180849641e-15,-2.141818174845067e-16)  (-5.8017878569596555e-16,1.6196147580410472e-15)   (6.8084278031572711e-16,6.9681651603433153e-16)  (-1.3602946518881628e-16,1.0146382570671128e-15) (-8.5755091601710571e-16,-1.4628144066705311e-16)
    (-0.73890702051248947,5.6686677856925547e-16)     (1.7700129426726189e-16,-0.12179821318499251)   (-0.082328400318112838,-3.6175267318943675e-16)     (1.7438168500225218e-17,0.077978443987399726)     (0.37898450712861242,-6.6616267299816534e-16)     (3.1425186054081739e-17,-0.38136644324321972)      (0.99999999999999833,-6.799846218824229e-16)       (-6.127283175016644e-16,1.2762701651272548)    (-0.51412000630747134,-4.3338297728642992e-16)     (1.5799920181050199e-16,-0.40680320438585504)  (1.1298712232586567e-16,-4.6561143299127834e-17)  (-1.1437585951580922e-15,-4.969945071950451e-16)   (-7.564268444078543e-16,1.8892892296121413e-15)   (2.7209206004929859e-15,1.0238775195338582e-15)  (-7.5339609914471768e-16,2.2290514610734795e-15)   (1.1345517930931441e-15,1.9218139683497373e-16)     (-4.79931246308402e-16,7.340255001083704e-16)   (6.3375309878357878e-16,2.8495776234926269e-16)  (-7.2757133391805978e-16,1.3651611495007332e-15) (-1.2378318622114093e-15,-5.7642574527261431e-16)
   (-1.8571868874700894e-15,-0.21113521173043251)     (0.79997198047915452,-2.4604056767090104e-16)     (1.3606636319038831e-16,-0.53608333819173315)     (-0.32660368464645329,8.7042043640680205e-16)    (-5.8189168254323329e-16,-0.75685130974603343)     (-0.67581682613048644,5.2790290474628974e-16)      (-5.3541136271048614e-16,-1.276270165127259)       (1.0000000000000013,1.3676589480995757e-15)      (-2.98105086840017e-16,-0.51921128412849082)     (0.77451901286304103,-4.6837663633827703e-16)  (-2.8349556432053436e-16,7.2707886810221935e-17) (-1.2953932466350216e-16,-2.3420356672232858e-16)   (7.3206503410242005e-16,3.5536013123383949e-16)   (4.5747596103819975e-16,-1.412748854251013e-15)   (9.3117759579758799e-16,1.4349076912934683e-15)   (5.1730887975693847e-16,1.8611009493049599e-16)  (-1.0004989619859512e-15,5.8653453896388766e-17)  (-1.0774262122087109e-17,1.0750141596625988e-15)   (-1.037795291214302e-15,6.5734140509434016e-16) (-6.5818819427890154e-16,-8.9848663042651258e-16)
   (-0.33921678436539471,-1.3316286310644504e-15)      (3.0377998613067077e-15,-0.6538057935243351)    (-0.63224547294068545,-2.3591166776405077e-15)    (-1.700500782687327e-15,0.0002000625702568426)     (0.21387969063861501,-1.9000599077084951e-15)    (-2.8941610426141615e-16,-0.17685177908822361)      (0.5141200063074729,-4.2262732528544578e-16)      (-1.001523793897958e-15,0.51921128412848216)     (0.99999999999999989,-3.1940539423997811e-16)       (3.8877352126871707e-16,1.0471615457075281)  (-8.6729973440352152e-16,3.5415642483808953e-16)   (4.0770090269427133e-16,1.7931957255040056e-15)  (1.5250900784835276e-15,-1.9853316496747045e-16)   (9.580705065256784e-16,-8.6391937751511039e-16)   (-8.455521638520584e-16,2.2373790432663672e-15)   (1.5272855012594374e-15,2.2676188459648287e-16)   (-4.4971233652135567e-16,1.048575816420588e-15)   (9.3053330722557852e-16,2.9680312570657309e-16)   (7.3271727362178013e-16,4.5707487637714846e-16)   (-5.0781374673073319e-16,2.632402582162694e-16)
    (1.7332468783902805e-15,-0.59899406905446906)       (0.4755714611360683,2.6634562539983502e-15)     (1.9039846034036372e-15,-0.44863436505832888)     (0.12523017062481667,-1.5034712074796349e-15)      (1.5922612978971518e-15,0.21945396619332969)      (0.16891527432087727,3.8346108188029328e-17)      (1.2575057846261069e-16,0.40680320438585549)    (-0.77451901286303382,-1.0146635292895361e-15)      (2.2025129214786328e-16,-1.0471615457075281)      (0.99999999999999933,3.4789811384310268e-16) (-1.7082276486123639e-16,-9.0534658232734895e-16)   (-1.876593811739481e-15,8.7291678506364981e-16)   (6.9749196521333862e-16,1.5459335814710603e-15)   (7.7654298582920488e-16,3.8345519537491818e-16) (-1.6402933493445062e-15,-1.1539594773031802e-15)  (-2.4555128814264591e-16,1.0516722570596452e-15)    (-2.8466549358659e-16,-4.5743019419262136e-16)  (-2.4483171047400775e-16,1.9341666950422508e-16)   (3.8383829381852445e-16,7.4818743571755626e-16)  (-2.7173716628321841e-16,2.9576399860321287e-16)
  (-8.583849782117567e-16,1.0098055075544465e-15) (-9.5241999541277364e-16,-1.0069987923529191e-15)    (-7.3868037350417175e-16,8.00625664971286e-16)   (4.8705591024777432e-16,3.7349287533222005e-16)  (-3.2212985253658106e-16,5.8878404199302487e-16)   (8.0061397299487126e-16,4.5363950279264028e-16)  (-3.3207914068641925e-16,8.2820827095956608e-16)   (-4.807669489098866e-16,3.4434994146832512e-16) (-5.2516022254764601e-16,-2.1044351674594214e-16) (-1.7838044934075621e-16,-6.3505202836850506e-16)       (1.0000000000000056,-2.430820093490539e-16)     (5.3385462634600856e-16,-0.50630307069386848)    (-0.29977757649313475,-9.8912177268463907e-16)    (-7.7948009977817505e-16,0.086093962429716342)    (-0.017396598890192738,5.4851594578971586e-16)       (4.267416927013031e-17,0.23781317125403589)    (-0.16700327280237892,-4.9470376382238484e-16)     (-7.2013611581296062e-16,0.23753678779957621)     (0.94304828048345213,-2.8288448664463334e-16)        (5.0006883120282875e-16,1.276975171931547)
