    (0.99999999999999911,-1.4446990788098587e-16)       (1.8885355309206896e-16,1.1352279913074599)     (-0.38748965956536807,2.5301622297251734e-17)   (3.2350132377465446e-17,-0.0053015603938309785)      (0.054065163159453755,2.988077396326316e-17)    (-4.8444263376405657e-17,0.056591893818956102)     (-0.015242678479796122,2.574916507622167e-16)     (-2.3169742212232246e-16,0.11588339028818073)     (-0.39000050074176507,1.0893364190532853e-16)   (7.1069779360196216e-17,-0.0011835672783852003)   (2.1757156558345791e-16,1.2513020928892875e-16)  (-1.4677200659682235e-16,1.2713897830143408e-16)  (-9.1004337645410948e-17,1.1869966222055011e-16)  (2.1401099951305304e-17,-5.7692377420036644e-17) (-2.4387078146747733e-18,-1.8863649530335497e-16)  (6.6705416002410966e-18,-5.6398795908688492e-17) (-1.0142382705731358e-16,-1.0780018477873799e-16)  (5.6634615575130854e-17,-3.5035344852964239e-17)   (1.1231483175621112e-16,5.7635580611015264e-17)  (-1.4849127783049548e-17,1.8421159697742649e-16)
     (9.4938775216657782e-17,-1.1352279913074617)       (1.0000000000000009,5.8072757329988072e-17)   (-3.4772490740385111e-17,0.0053015603938304789)     (0.41239380498181777,-2.4342285118275296e-17)      (9.2687874925881424e-17,0.19737987774738264)     (-0.0540651631594532,-1.2197714496560826e-16)    (-2.5552187740597573e-16,0.044280719904803062)   (-0.015242678479795817,-1.9966940716082354e-16)    (7.7563616280913757e-17,0.0011835672783838402)     (0.39556032264727914,-1.5047853452308418e-16)  (-1.1400512906828599e-16,1.7749011547247999e-16) (-2.7272727801835192e-18,-2.8035572186408312e-16)  (-1.8541922888065726e-17,1.7495724906921334e-17)   (7.9322268372585534e-17,8.9700808630004702e-17)  (1.0438288993749717e-16,-7.3468450958346361e-17)   (1.2381273683940323e-16,4.9524499349133293e-17)  (4.7873073454607845e-17,-7.8306154570675357e-17)  (-2.3998326812341963e-17,1.0837425504762584e-17)   (2.9788638561702339e-17,2.6246542108718595e-17)  (-2.054488232498847e-16,-1.1000183228238091e-16)
    (0.38748965956536857,-4.2693386996645991e-17)   (2.7652350576734617e-18,-0.0053015603938307843)      (1.0000000000000002,-7.6748293054546168e-18)       (1.1249309629019884e-16,1.1407879001619832)        (-0.40895651669507016,2.6045374512065e-16)    (1.5251746334047817e-16,-0.014048432879722364)   (-0.023403315018862055,-5.8489747876399001e-17)   (-7.1575242017869455e-17,-0.022801894767009181)   (-0.015640584955394291,-6.0154406570466654e-17)      (4.9320331369839726e-17,0.12666285863930135) (-8.4291123680819886e-17,-2.5293702244663757e-17)    (9.3008135383318604e-17,2.285510533025251e-17)  (-5.7972348373110466e-17,7.3205330837614186e-18)  (-2.8056202178569749e-17,2.9816954824080089e-17)   (7.4267961350025585e-17,1.0109242336211195e-17)  (-6.4315461997590846e-18,7.6565842394052937e-17)   (1.3487684113252373e-19,3.9102807021268293e-18) (-4.4328652708040487e-19,-9.7441038013446388e-17)   (6.8047227711039629e-17,1.8399459080469474e-18)  (2.2868656027162877e-17,-5.4041859540763832e-17)
   (2.8374114322743343e-16,0.0053015603938300696)     (-0.41239380498181805,3.3325875527013136e-16)      (-5.582023244677714e-17,-1.1407879001619838)       (1.0000000000000002,-6.529824326787949e-17)     (3.0916339535212134e-16,0.014048432879723165)     (0.34296382976520351,-9.7257889877858459e-17)   (-1.0836617006889568e-16,-0.022801894767009064)     (-0.13051549725656522,2.8470344265469705e-17)   (-1.4711809137372407e-16,-0.053191017673244217)     (0.015640584955394641,3.5959014201128525e-17)  (-1.5606876336557912e-17,1.8520918066573693e-18)   (1.0712764416566526e-16,2.4223493374398254e-17)   (5.036581172679796e-17,-4.7353303394657671e-17)   (3.2955568955687845e-17,2.0521098090222467e-17)  (-1.5516045767475217e-17,3.1243952162722884e-17)  (7.8819013772832195e-17,-8.9868229641271945e-18)   (1.635170101710786e-17,-1.3584148793992833e-17)  (-4.6816322358698691e-17,3.6948362372953157e-17) (-1.7532394109726476e-17,-1.1653995164560484e-16)  (3.8866344354204162e-17,-2.1242077384925069e-17)
   (-0.054065163159452909,6.4407356982030378e-16)      (-6.798775034336491e-16,-0.1973798777473828)      (0.4089565166950706,-1.6000995521529441e-16)    (6.5358183082524103e-17,-0.014048432879722137)      (0.99999999999999922,4.4857188544672805e-16)     (-2.8781940953774883e-16,0.99763249042203794)    (0.0094998321146700683,-8.349822722287415e-17)     (5.1062876103548525e-17,-0.39325013665067171)     (0.13966025869641094,-3.0758085275831675e-16)    (8.0488145721116135e-17,-0.026276343977954454)     (8.16372205109344e-17,3.1225202382533279e-17)  (-1.7089018514813641e-16,1.7641227912432079e-16)   (2.4543823648041584e-16,1.1732936943123734e-16)   (-1.934025474182829e-17,9.2614194950087266e-17)   (-1.487135294685423e-16,-5.586097871329522e-17)    (2.5262967963925325e-17,2.456584695462415e-17)    (1.9182174825996711e-17,1.326224888343467e-17)    (-6.044074841492326e-17,6.545340765099319e-17)   (1.0331592232550896e-16,-3.453015354575717e-17)    (3.043739298722942e-17,9.8434444621978907e-17)
  (-5.2647548791513938e-16,-0.056591893818955984)      (0.0540651631594532,-6.1306400748703114e-16)     (2.3119041165237866e-16,0.014048432879722716)      (-0.3429638297652044,1.4103049398319296e-16)    (-3.6751837328674434e-16,-0.99763249042203983)      (1.0000000000000004,-3.3301961511481743e-16)     (4.1268283003186654e-17,-0.34862455798313047)    (0.0094998321146703615,6.1775955978536917e-17)     (2.6629627608954849e-16,0.026276343977954735)    (-0.016226808385981367,9.5169656335026499e-17)  (-7.6749214693892049e-18,1.4246695868172035e-16) (-2.6905259007797794e-16,-8.8374473030104103e-17)  (-1.5480796437065909e-16,1.2887201908658209e-16)  (-5.298978110668186e-17,-6.6450982158259141e-17)  (1.0946612852198221e-16,-5.2023847094284303e-17) (-2.2372401890415149e-17,-8.4704667770587104e-18)   (3.8351258906233895e-17,2.4605238570644771e-17) (-6.8041920280472522e-17,-1.3605466474225593e-17)  (-4.2417721884943516e-17,8.1483588708225528e-17)  (-5.9164318334734444e-17,3.8577881383703951e-17)
   (0.015242678479796046,-1.2721022632204973e-16)   (-2.3249172924372373e-16,-0.044280719904803215)     (0.02340331501886201,-2.7976256732570401e-16)     (3.1127560170513173e-16,0.022801894767009227)    (-0.009499832114670665,1.4848022379373118e-16)      (1.8570863549216871e-17,0.34862455798313052)      (1.0000000000000002,-3.1079763921853592e-18)     (-1.9747388337821486e-17,0.95805035841758024)    (-0.23029253387604268,-2.9386311541635418e-17)      (4.2088018000595448e-17,0.10965664684565393) (-1.6932151302538105e-17,-2.4409215791941264e-17) (-7.2508506265451497e-17,-1.8244127567447334e-17)  (5.4546633053528989e-18,-4.4391026843616721e-17)   (2.6802918908654541e-17,1.7529037812777912e-17)    (2.1428632711536784e-17,5.484639679584894e-17)  (6.1108210087955992e-18,-7.5468946580573557e-19)   (7.9772763844816109e-18,1.7187173823944471e-17)   (1.0061252860444876e-17,9.0986751322058099e-18)  (-2.9421647082300411e-18,1.9506459385329016e-17) (-6.4087197040717252e-17,-1.9033969793906176e-17)
    (2.7811644099202113e-17,-0.11588339028818079)     (0.015242678479795992,2.2012711399170204e-16)      (1.860214208086289e-16,0.022801894767009053)      (0.13051549725656553,1.7873283457424751e-16)      (7.8152018343557813e-17,0.39325013665067221)   (-0.0094998321146703615,1.1139943040791859e-16)     (-1.628479673394069e-17,-0.95805035841758024)                       (1,-2.0542599662183855e-17)     (-1.0667210276732375e-16,0.10965664684565436)     (0.28482091877882942,-8.4777782099519242e-17) (-5.0263927114066126e-17,-7.9733585603115087e-17)   (1.2889664420889636e-16,5.9103099917309774e-17) (-2.2597687561114981e-17,-5.7560357873763113e-17)  (1.5908138828956335e-17,-5.0458733452870047e-18)   (2.7859652163647298e-17,3.9889617450295958e-17)   (1.3474100181213566e-17,3.2449867453229665e-17)  (2.3368731759843858e-17,-9.3687595612901501e-18)   (3.149664211313992e-17,-4.8042247613631977e-17) (-1.5253590025366126e-17,-3.8794924323439224e-17)   (3.4607199295823925e-17,2.0092274621476127e-17)
     (0.39000050074176479,7.1047459133604032e-18)   (1.1486614300796157e-16,-0.0011835672783838125)     (0.015640584955394277,4.8922489230143922e-17)    (-6.1009276096443799e-17,0.053191017673244259)    (-0.13966025869641063,-6.6580042965751053e-17)   (-8.9509389934823213e-17,-0.026276343977954395)     (0.23029253387604251,-1.3064906183523839e-17)     (5.8676239628569857e-17,-0.10965664684565364)       (0.99999999999999845,-1.74955096982226e-17)       (5.0098212888855565e-17,1.0996994342928827)  (7.4348557062576706e-18,-3.2121995097788976e-17)   (4.2957922466156675e-17,2.2132299404280724e-17)  (6.4659639100656983e-17,-2.4137360703782371e-18)   (-2.098097872715298e-17,4.2730254183097121e-17)   (-9.257003707722946e-18,1.8030506094927524e-17)  (-1.8924369663792453e-17,1.3272377794605068e-17)   (2.4057498565794369e-17,1.6644499211894664e-17)    (1.5167120135452024e-17,3.125864246715013e-17)  (3.1979115341701255e-17,-2.7917591067772448e-17)   (2.8959966395196949e-17,1.6823957238619787e-17)
   (2.4311847378302647e-16,0.0011835672783834239)      (-0.39556032264727925,7.759373769393232e-17)      (2.5781798448065368e-17,-0.1266628586393013)    (-0.015640584955394055,1.2107483288517424e-16)    (-1.1197935488315098e-16,0.026276343977955294)     (0.016226808385980923,7.3096180278360878e-17)    (-6.8884031869372869e-17,-0.10965664684565399)       (-0.28482091877883009,-1.1797800150768e-16)      (-1.5513422691373322e-17,-1.099699434292885)       (1.0000000000000016,8.4964448899360648e-17)  (-1.6458358513680125e-17,8.3974941321328024e-17)  (-6.627406149387689e-17,-1.8327032838571592e-17) (-1.3722127135417668e-17,-2.3453353532659605e-17)  (-5.4744675400497803e-18,8.5695567693232466e-19)   (2.7422439276981286e-17,2.7764491905665253e-17)  (1.0598414796509093e-17,-1.1526924410305468e-17)  (1.8778034339743972e-17,-1.0873139436300871e-17)  (-1.5295032916318265e-17,3.4258851428001346e-17)  (-1.5622507962044695e-19,4.9162925090430513e-17)  (-5.7751218176932271e-17,6.6573038743026726e-18)
  (1.6037378380209853e-16,1.2585162123165809e-16)   (8.5654464692411651e-17,2.4963619259490524e-16) (-1.8417575040421474e-16,-2.1718633707343861e-17)  (-1.4224420451746163e-16,-1.622887900811105e-16)   (1.6765794097529282e-16,-3.689165880693437e-16)   (3.4339160383944061e-16,1.2570744450511121e-16)   (4.943906386724347e-17,-9.1196487506250908e-17)  (-7.8835812226788359e-17,1.7033050877649735e-17) (-2.0324821813376821e-17,-1.2959455441675458e-16)   (7.8631992680476085e-17,3.9702639136528879e-17)      (0.99999999999999989,9.7806278292412737e-18)    (-2.1161093134342217e-17,-0.02819265747209071)     (-0.33178543115016795,1.2271809603425394e-18)     (1.5893555663890644e-17,0.012384297517498311)     (0.17001524071789115,-2.4862741514110081e-17)     (-4.8718816322834273e-18,0.12872300727321795)    (0.078186877599476512,-2.8323632748266825e-19)    (-6.8421018486781471e-18,-0.36092879620580648)     (-0.022467624867648972,1.059476492154425e-17)      (-7.5302698640930664e-18,0.9989078718610932)
