      (1.0000000000000027,2.7500249719245251e-15)       (-2.074976536411498e-15,1.3631818519971344)     (-0.8641967897691254,-1.7025462037576891e-15)     (-7.7940982790290555e-15,0.90964665857619753)      (0.66983598461177629,8.5497412641069469e-15)     (5.5345910274765725e-17,-0.19522961919091938)      (0.81269778095907996,5.0775469865946803e-15)      (4.5417676124787943e-15,0.36586386258433334)     (0.08483797740159027,-3.4354421197230681e-15)     (5.1045003162379247e-15,0.074153409131136327)  (7.8575329708574902e-16,-2.4302666041900676e-16)   (7.4578123899841707e-16,2.3694726283791107e-15)  (-1.2722337983464504e-15,6.5257429527551469e-16)  (3.7308539903020197e-16,-6.8430314015783048e-16) (-9.6049241285376538e-16,-2.4890890309749995e-16)  (-1.1833923901885228e-16,3.9382948482405209e-16)   (6.2787368759198218e-16,3.9400392694347537e-16)  (4.7682703320247239e-16,-3.7554037320466905e-16)  (1.5335789107114746e-15,-2.6379901888020035e-16) (-2.2764525705758721e-16,-1.2521275323270085e-15)
    (-4.5185102909118515e-16,-1.3631818519971499)        (1.00000000000002,-3.2990476835876545e-16)     (7.1593236040817808e-16,0.090149154324838193)      (1.1500513438197471,-5.0879697979615169e-15)     (-4.9014531717256902e-15,-1.3244394953288305)     (-0.23996303960381243,1.1780751594934761e-15)     (-1.0799470586892353e-15,0.25737935630471054)     (-0.81200557429073106,1.5510061235883759e-15)      (3.2750929487674344e-16,0.27012733336331352)     (-0.84864074332533923,1.7923359141364791e-15) (-3.3388882472579491e-16,-5.7233336055680382e-16)  (1.0827128680444888e-15,-2.6683493789746514e-16)   (2.5649462088914752e-17,1.1087143917030811e-15)  (-1.0869073556138283e-15,3.9957030169332015e-16)   (3.8877002373844595e-16,1.6059335749859076e-15)  (8.8602947046347789e-16,-5.0817981254015769e-17)    (3.33975534683946e-16,-9.6779804986560179e-17)   (9.778706512822391e-17,-3.9355740881540909e-16)  (7.3667686574419535e-17,-3.2073029395917133e-16) (-1.9593446917313808e-16,-1.2719344781100622e-16)
     (0.86419678976915071,1.4443376287132083e-15)    (-1.245736110063573e-15,-0.090149154324800251)     (0.99999999999998734,-6.9686163823584013e-17)       (2.1309640234957546e-15,2.6735611055409674)      (2.7287715344711523,-1.2490718843536043e-15)    (-2.1590085158832109e-15,-0.64085690647511329)      (0.23808343903678231,2.5273818585922692e-15)      (1.1251854990920713e-15,-1.0730109549949951)    (-0.56858010780226387,-2.2230866444864064e-15)     (1.1783499715166465e-15,-0.92460332170951776)  (1.6991981201798295e-15,-7.3779217502306561e-16)   (1.1071591003316669e-15,3.9351770835021645e-15)  (-2.8665709150492133e-15,7.0976288197626321e-16) (-2.1007362188206042e-16,-2.4151414241890579e-15)    (-3.928454199328379e-15,3.066613558431786e-16)  (-4.0010004434941727e-17,2.3607018371322906e-15)    (4.750699374197804e-16,8.7231163087238143e-16)  (1.0665772421705474e-15,-5.7213795728121085e-17)  (1.7216247758151234e-15,-1.1325449771616879e-16) (-6.1104004305140762e-18,-1.4399079730830141e-15)
   (-8.3240803738807425e-16,-0.90964665857619043)     (-1.1500513438197899,-2.1590424000583091e-15)      (4.2267548642477937e-15,-2.6735611055410247)     (0.99999999999993572,-1.5799418090502137e-14)     (-1.4714417417852532e-14,-1.2032166438758489)      (-1.7040601679161733,1.6255318018380716e-15)     (-4.4995504414155867e-15,0.56630488132931223)      (-1.9034272549841706,2.7459400091928571e-15)      (2.6285717288202835e-15,0.57438242852937305)       (-1.1064620414295732,4.706003359914559e-15) (-5.1409516122191112e-16,-1.4554152080880185e-15)   (3.219119191493142e-15,-3.0697142278298302e-16)   (8.4435873863636282e-16,2.2138536410612297e-15) (-3.2135342282304154e-15,-3.5057855460782148e-16)  (-1.6643495144507852e-16,5.1691742456779222e-15)   (3.2340974011990527e-15,6.1168417380881742e-16)  (5.8273726895806954e-16,-1.6366852682526639e-16) (-1.3690113789029141e-16,-4.4977610595940859e-17)  (7.1072991321724656e-16,-1.4199113342644959e-15) (-1.0557461197508657e-15,-2.1581753539552941e-16)
    (-0.66983598461176674,2.5943398360134018e-15)      (-3.7635844294782982e-15,1.3244394953288772)     (-2.7287715344712113,-5.0167641759966989e-15)       (-1.804329569160719e-14,1.2032166438759559)        (1.0000000000000426,1.753520354181129e-14)        (7.242572920250621e-16,1.8984275955629217)      (0.96935547251686027,7.4022575213158004e-15)       (5.5694358483819682e-15,1.6078556267357054)     (0.30553266318175104,-5.2408114461035681e-15)      (7.3785065412676016e-15,0.73265083981596724) (-4.8925077027287061e-16,-2.1423890243351313e-17)  (4.5318480380821174e-16,-9.9860343833758082e-16)  (6.2089780789421923e-16,-3.5008540937384814e-16)  (-4.4090468678663079e-16,2.2135420596705343e-15)   (3.6129407832887932e-15,3.1402038340839606e-16)  (5.8354504649798128e-16,-2.3025461547822115e-15)   (1.9597250467888653e-16,-3.271037027922247e-17)   (6.1563679014530154e-16,2.1562229735718395e-16)    (-4.9918679349515308e-16,-6.5710656659153e-16)  (-3.2257754265284955e-16,1.7127776073687606e-16)
    (-5.6131103569410161e-16,0.19522961919091431)      (0.23996303960382104,6.7879066166476473e-16)     (-9.6027184876453948e-16,0.64085690647512239)      (1.7040601679161704,-2.8198453182760205e-16)      (-7.7747068129010181e-16,-1.898427595562916)      (0.99999999999999689,7.6476271659689718e-16)     (5.6454360988431556e-16,0.076020928700480273)     (-0.26892649190869278,4.4887201648003812e-16)   (-3.5742538916674438e-16,-0.036800120219254336)     (-0.16201287147944837,9.0486491482485254e-16) (-5.1004897061047565e-17,-5.1221600453744687e-17) (-2.9192518105546599e-16,-1.9287139348471975e-17)  (3.2267903718631866e-16,-3.7489042992507477e-17)  (1.7457032816189407e-16,-3.1933778196677044e-16) (-2.1180887584071746e-16,-5.4970180450830054e-16) (-3.3066762219692077e-16,-5.5146259301790258e-17)   (3.2620609888433152e-16,2.9667451083651138e-16)  (7.3041156024588053e-16,-4.5590859087714884e-16)   (2.1090373487088758e-16,4.0890023017472239e-16)  (3.7138824375345563e-16,-2.1714779415219343e-16)
    (-0.81269778095909406,3.0491217316314675e-15)    (-1.6741327513510944e-15,-0.25737935630472919)    (-0.23808343903676724,-1.3123506263579704e-15)    (-9.9274767967241651e-15,-0.56630488132928414)     (-0.96935547251683396,1.0599261341460987e-14)     (1.800929360097698e-15,-0.076020928700474555)        (0.999999999999998,4.5250638423809647e-15)       (5.8536484382889617e-15,1.0004239613016508)     (0.64080963316486561,-3.3095888244272906e-15)       (6.5457320515606363e-15,1.2937835172695926)  (-1.2900585628988151e-17,3.1658531068616062e-16)  (-1.6718132844905079e-16,4.2331038377598823e-16)   (-3.873295002987657e-16,2.4165087413497707e-16)  (-5.044054063633874e-16,-1.4682009956317879e-16)  (-3.0289310725730173e-16,7.8648562601892103e-16)  (9.8692903858677918e-16,-6.2850836067399322e-16)  (5.6026880367298859e-16,-1.3505505193919812e-15) (-8.3890245724138323e-16,-1.0985597569620117e-15)  (5.1159859037452604e-16,-2.1960450775542708e-16) (-2.0808012434164272e-16,-4.1346390018201812e-16)
    (3.7499861375471908e-15,-0.36586386258433584)      (0.81200557429075282,4.7998427022951583e-15)      (-5.1502624907365347e-15,1.0730109549950171)       (1.9034272549841273,9.9989752015650147e-15)      (1.0687072819018111e-14,-1.6078556267356545)      (0.26892649190869905,1.1017149259964822e-15)      (7.6947000495547679e-15,-1.0004239613016477)      (1.0000000000000164,-5.0097602671564684e-15)      (-4.9165754747759903e-15,1.0035009940693165)    (-0.72357523009604618,-6.7085260588308995e-15) (-7.9557899011482934e-16,-9.4741688425443069e-16)   (2.682885636850097e-15,-1.4194915778247904e-15)   (5.4865011324403579e-16,1.6821645340014264e-15)  (-9.9328885862931416e-16,7.7546435236054496e-17)   (1.6047899947485054e-17,1.3592470607811079e-15)   (7.4048434080818776e-16,4.9547494413649159e-16)  (1.1406812134330256e-15,-8.8313189456370023e-16) (-5.5136102691364892e-17,-1.0778107982440934e-15)  (-4.6690736987827877e-16,-1.607857166779969e-15)  (-1.2045443117393362e-15,2.6654585628596271e-16)
  (-0.084837977401614001,-2.5193730807700758e-15)     (1.5919462910481729e-15,-0.27012733336333633)      (0.56858010780227475,1.2422575956533262e-15)      (7.8459062649745959e-15,-0.5743824285293998)    (-0.30553266318177186,-8.4532101238556247e-15)    (-6.5212939792188549e-16,0.036800120219258534)      (-0.64080963316487038,-4.69479942607842e-15)      (-4.5239863215840495e-15,-1.003500994069332)       (1.0000000000000109,3.3689887025652855e-15)     (-5.1563461039844751e-15,0.65055020655312945)   (-6.066818718660121e-16,9.4740258297125002e-17) (-4.2439786079797377e-16,-1.5623179359589252e-15)  (1.0386516940499386e-15,-3.6387469929685127e-16)   (1.0674670553109608e-17,2.6324361887867845e-16)  (4.9233715330108958e-16,-1.1375409484531934e-16) (-1.4712703053020232e-16,-9.0228601772746513e-17)   (-4.4010815265915259e-16,2.333843816836081e-17)    (-1.570856077692232e-16,2.761220705521031e-16)  (-7.0808910127266397e-16,2.4851134346223352e-16)   (1.7798769869071649e-16,8.1307967458180457e-16)
   (3.8024613365235464e-15,-0.074153409131162668)      (0.84864074332536421,3.6394253423247038e-15)     (-3.6814779147559276e-15,0.92460332170952775)       (1.1064620414295854,1.2548535033933856e-14)      (1.321614431161287e-14,-0.73265083981597323)     (0.16201287147944407,-3.2435090686115881e-16)      (7.8150831664540231e-15,-1.2937835172695931)     (0.72357523009606928,-6.3092692597633538e-15)    (-5.1276867415176612e-15,-0.65055020655310825)     (0.99999999999999034,-7.7352744854378619e-15)  (-4.4280087569436864e-16,-6.471096809797641e-16)  (2.2763470851079364e-15,-1.0877006326625671e-15)    (6.445843441922742e-16,1.1958158463059385e-15) (-4.9998982214703612e-16,-6.9035098076460628e-17)   (5.7168194502106919e-18,6.8843603123453944e-16)   (1.3228327039286146e-16,1.6138267296094344e-16)  (5.3202375005573345e-16,-9.5930959554312627e-16) (-7.2365496422604199e-16,-6.2656209578939189e-16)     (-4.6168391621399e-16,-1.644296715743025e-15)  (-1.3503647893914262e-15,3.3786611249630539e-16)
