bin_index,sample_count,sign_sum,signed_S_pi_numerator,signed_S_pi_dq_numerator
0,334,98,2.2094561150840484,2.2611855203693612
1,333,117,2.2641024263742078,2.1636542042817775
2,333,91,3.5665528048881461,2.8135597949442737
3,334,80,0.78662789062235494,0.98779478132446452
4,333,77,2.498556480571275,2.175728505464773
5,333,63,0.90076495443745963,0.77220020759964003
6,334,76,2.1453431590096281,1.509699370989374
7,122,22,0.66464347648426536,0.44353038906953968
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
