L,Vf,rate,planned,failures,failure_rate,sign_imag_count,observable_imag_count,green_skew_count,sign_correction_count,other_count,max_sign_over_tol,max_observable_over_tol,max_green_over_tol,median_max_excess_ratio
26,3.75,0.5,12,4,0.3333333333333333,4,0,0,0,0,8.557708348418384,7.188262092380413e-05,0.05966706985327966,4.819165934668406
26,3.8,0.5,12,7,0.5833333333333334,7,0,0,0,0,10.445485991440968,0.03975105804778649,0.14389990106572514,4.544897515439177
26,3.8,1.0,12,1,0.08333333333333333,1,0,0,0,0,2.3152438075310218,0.00011365832159341905,0.01639730994832174,2.3152438075310218
26,3.85,0.5,12,10,0.8333333333333334,8,0,4,0,0,35.072558996603206,0.01734643032643742,3.7267453555626577,2.206428601329587
26,3.9,0.5,12,8,0.6666666666666666,8,0,0,0,0,26.79991236764047,0.00014687120267288956,0.10659366887270817,4.329101972090807
26,3.9,1.0,12,3,0.25,1,0,2,0,0,1.2428761570914026,0.0003280769436764408,1.3011005710583015,1.2428761570914026
26,3.95,0.5,12,5,0.4166666666666667,5,0,0,0,0,43.45322089305463,0.07028404914920851,0.4242675286616063,4.047441408507888
26,4.0,0.5,12,8,0.6666666666666666,8,0,0,0,0,6.537127896323066,6.517777889809856e-05,0.16444071098798857,1.617421207497049
26,4.0,1.0,12,2,0.16666666666666666,2,0,0,0,0,2.8451252251044634,4.782287973634658e-05,0.031493655863772445,2.8451252251044634
26,4.05,0.5,12,6,0.5,6,0,0,0,0,21.752682411858515,0.005363441986654549,0.48260237670611983,2.167123665287903
26,4.1,0.5,12,8,0.6666666666666666,7,0,5,0,0,17.665417145695276,0.018759196311220777,14.866361406588776,4.338045559203749
26,4.1,1.0,12,4,0.3333333333333333,3,0,2,0,0,3.471637252026525,0.006002868048868812,2.576695880014797,3.2135993206958693
26,4.15,0.5,12,6,0.5,6,0,0,0,0,69.38929924330178,0.00543649454402662,0.1468494571203083,4.402483745215438
26,4.2,0.5,12,11,0.9166666666666666,11,0,1,0,0,30.332644177973904,0.667298889096829,2.6356542390067634,3.1508899335083975
26,4.2,1.0,12,5,0.4166666666666667,3,0,2,0,0,4.82833574865195,0.012383300668029774,2.231341106038335,2.166582937754783
26,4.25,0.5,12,11,0.9166666666666666,11,0,0,0,0,19.70120737931279,0.001117229841615022,0.8881015006282311,2.6285912844035475
34,3.75,0.5,12,7,0.5833333333333334,7,0,0,0,0,26.386409903322633,7.165839747241747e-05,0.231667834309461,4.2045203782134974
34,3.8,0.5,12,4,0.3333333333333333,4,0,0,0,0,45.843320818877196,0.00040617104122615106,0.06194107445835628,12.330762327137808
34,3.8,1.0,12,1,0.08333333333333333,1,0,0,0,0,1.0848991330547209,2.1433569709634213e-06,0.025349185435862107,1.0848991330547209
34,3.85,0.5,12,5,0.4166666666666667,5,0,0,0,0,61.176677674804125,0.20403754211895805,0.5115437371501461,1.8676409397287006
34,3.9,0.5,12,4,0.3333333333333333,4,0,0,0,0,12.726687743018823,6.617233810417189e-05,0.38289642490433884,1.4630958183746572
34,3.9,1.0,12,1,0.08333333333333333,1,0,0,0,0,1.0639141178231113,5.603354948573502e-05,0.028260603839021327,1.0639141178231113
34,3.95,0.5,12,10,0.8333333333333334,10,0,0,0,0,10.56602441898261,0.0031087998426599494,0.9631176658546544,3.6124315099219917
34,4.0,0.5,12,10,0.8333333333333334,10,0,0,0,0,19.613940240043497,0.00018563158993130637,0.37132926114452974,6.97546841430739
34,4.0,1.0,12,2,0.16666666666666666,2,0,0,0,0,4.25217455473219,1.0493580904746316e-05,0.004408043898790075,4.25217455473219
34,4.05,0.5,12,10,0.8333333333333334,10,0,0,0,0,18.9214529102293,0.008739975182246087,0.6021763412848086,3.172262767688962
34,4.1,0.5,12,12,1.0,11,0,4,0,0,30.32733114569305,0.0367226104330478,6.554683880689931,5.453350021804529
34,4.1,1.0,12,3,0.25,3,0,0,0,0,7.469028164700061,0.0015166383483326037,0.05644677078375207,2.224090593788671
34,4.15,0.5,12,12,1.0,12,0,0,0,0,17.67064338071117,0.0018876757425041416,0.36275256350030705,4.147707672999995
34,4.2,0.5,12,11,0.9166666666666666,11,0,5,0,0,26.063160763404685,0.017209259003472175,7.520524594163098,4.375155651518484
34,4.2,1.0,12,5,0.4166666666666667,4,0,3,0,0,5.208205128765313,0.016979393744230287,6.719648470189063,3.6351734309691612
34,4.25,0.5,12,12,1.0,12,0,0,0,0,67.34054808503167,0.00013245456617035732,0.27952846601846537,7.713522524118127
