task_id,L,theta,beta_trial,dt,V,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,output_dir
0,6,6,2,0.1,2,1,0,1,0,662001,100,500,1,results/hpc_convergence/beta_trial/task_000_L6_V2_t6_bt2_s662001
1,6,6,4,0.1,2,1,0,1,0,662001,100,500,1,results/hpc_convergence/beta_trial/task_001_L6_V2_t6_bt4_s662001
2,6,6,8,0.1,2,1,0,1,0,662001,100,500,1,results/hpc_convergence/beta_trial/task_002_L6_V2_t6_bt8_s662001
3,6,6,2,0.1,4,1,0,1,0,664001,100,500,1,results/hpc_convergence/beta_trial/task_003_L6_V4_t6_bt2_s664001
4,6,6,4,0.1,4,1,0,1,0,664001,100,500,1,results/hpc_convergence/beta_trial/task_004_L6_V4_t6_bt4_s664001
5,6,6,8,0.1,4,1,0,1,0,664001,100,500,1,results/hpc_convergence/beta_trial/task_005_L6_V4_t6_bt8_s664001
