task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,reuse_result
0,projector_sign_scan_L6,6,2.0,10,8,0.1,1,0,0,0,990301,500,5000,1,false,0,10,20,raw/L6/task_000_V2_s990301,results/static_projector_ed_final/raw/task_000_s990301/result.json
1,projector_sign_scan_L6,6,2.0,10,8,0.1,1,0,0,0,990302,500,5000,1,false,0,10,20,raw/L6/task_001_V2_s990302,results/static_projector_ed_final/raw/task_001_s990302/result.json
2,projector_sign_scan_L6,6,2.0,10,8,0.1,1,0,0,0,990303,500,5000,1,false,0,10,20,raw/L6/task_002_V2_s990303,results/static_projector_ed_final/raw/task_002_s990303/result.json
3,projector_sign_scan_L6,6,2.0,10,8,0.1,1,0,0,0,990304,500,5000,1,false,0,10,20,raw/L6/task_003_V2_s990304,results/static_projector_ed_final/raw/task_003_s990304/result.json
4,projector_sign_scan_L6,6,2.0,10,8,0.1,1,0,0,0,990305,500,5000,1,false,0,10,20,raw/L6/task_004_V2_s990305,results/static_projector_ed_final/raw/task_004_s990305/result.json
5,projector_sign_scan_L6,6,2.0,10,8,0.1,1,0,0,0,990306,500,5000,1,false,0,10,20,raw/L6/task_005_V2_s990306,results/static_projector_ed_final/raw/task_005_s990306/result.json
6,projector_sign_scan_L6,6,3.0,10,8,0.1,1,0,0,0,990301,500,5000,1,false,0,10,20,raw/L6/task_006_V3_s990301,
7,projector_sign_scan_L6,6,3.0,10,8,0.1,1,0,0,0,990302,500,5000,1,false,0,10,20,raw/L6/task_007_V3_s990302,
8,projector_sign_scan_L6,6,3.0,10,8,0.1,1,0,0,0,990303,500,5000,1,false,0,10,20,raw/L6/task_008_V3_s990303,
9,projector_sign_scan_L6,6,3.0,10,8,0.1,1,0,0,0,990304,500,5000,1,false,0,10,20,raw/L6/task_009_V3_s990304,
10,projector_sign_scan_L6,6,3.0,10,8,0.1,1,0,0,0,990305,500,5000,1,false,0,10,20,raw/L6/task_010_V3_s990305,
11,projector_sign_scan_L6,6,3.0,10,8,0.1,1,0,0,0,990306,500,5000,1,false,0,10,20,raw/L6/task_011_V3_s990306,
12,projector_sign_scan_L6,6,3.5,10,8,0.1,1,0,0,0,990301,500,5000,1,false,0,10,20,raw/L6/task_012_V3.5_s990301,
13,projector_sign_scan_L6,6,3.5,10,8,0.1,1,0,0,0,990302,500,5000,1,false,0,10,20,raw/L6/task_013_V3.5_s990302,
14,projector_sign_scan_L6,6,3.5,10,8,0.1,1,0,0,0,990303,500,5000,1,false,0,10,20,raw/L6/task_014_V3.5_s990303,
15,projector_sign_scan_L6,6,3.5,10,8,0.1,1,0,0,0,990304,500,5000,1,false,0,10,20,raw/L6/task_015_V3.5_s990304,
16,projector_sign_scan_L6,6,3.5,10,8,0.1,1,0,0,0,990305,500,5000,1,false,0,10,20,raw/L6/task_016_V3.5_s990305,
17,projector_sign_scan_L6,6,3.5,10,8,0.1,1,0,0,0,990306,500,5000,1,false,0,10,20,raw/L6/task_017_V3.5_s990306,
18,projector_sign_scan_L6,6,4.0,10,8,0.1,1,0,0,0,990301,500,5000,1,false,0,10,20,raw/L6/task_018_V4_s990301,
19,projector_sign_scan_L6,6,4.0,10,8,0.1,1,0,0,0,990302,500,5000,1,false,0,10,20,raw/L6/task_019_V4_s990302,
20,projector_sign_scan_L6,6,4.0,10,8,0.1,1,0,0,0,990303,500,5000,1,false,0,10,20,raw/L6/task_020_V4_s990303,
21,projector_sign_scan_L6,6,4.0,10,8,0.1,1,0,0,0,990304,500,5000,1,false,0,10,20,raw/L6/task_021_V4_s990304,
22,projector_sign_scan_L6,6,4.0,10,8,0.1,1,0,0,0,990305,500,5000,1,false,0,10,20,raw/L6/task_022_V4_s990305,
23,projector_sign_scan_L6,6,4.0,10,8,0.1,1,0,0,0,990306,500,5000,1,false,0,10,20,raw/L6/task_023_V4_s990306,
24,projector_sign_scan_L6,6,4.5,10,8,0.1,1,0,0,0,990301,500,5000,1,false,0,10,20,raw/L6/task_024_V4.5_s990301,
25,projector_sign_scan_L6,6,4.5,10,8,0.1,1,0,0,0,990302,500,5000,1,false,0,10,20,raw/L6/task_025_V4.5_s990302,
26,projector_sign_scan_L6,6,4.5,10,8,0.1,1,0,0,0,990303,500,5000,1,false,0,10,20,raw/L6/task_026_V4.5_s990303,
27,projector_sign_scan_L6,6,4.5,10,8,0.1,1,0,0,0,990304,500,5000,1,false,0,10,20,raw/L6/task_027_V4.5_s990304,
28,projector_sign_scan_L6,6,4.5,10,8,0.1,1,0,0,0,990305,500,5000,1,false,0,10,20,raw/L6/task_028_V4.5_s990305,
29,projector_sign_scan_L6,6,4.5,10,8,0.1,1,0,0,0,990306,500,5000,1,false,0,10,20,raw/L6/task_029_V4.5_s990306,
30,projector_sign_scan_L6,6,5.0,10,8,0.1,1,0,0,0,990301,500,5000,1,false,0,10,20,raw/L6/task_030_V5_s990301,
31,projector_sign_scan_L6,6,5.0,10,8,0.1,1,0,0,0,990302,500,5000,1,false,0,10,20,raw/L6/task_031_V5_s990302,
32,projector_sign_scan_L6,6,5.0,10,8,0.1,1,0,0,0,990303,500,5000,1,false,0,10,20,raw/L6/task_032_V5_s990303,
33,projector_sign_scan_L6,6,5.0,10,8,0.1,1,0,0,0,990304,500,5000,1,false,0,10,20,raw/L6/task_033_V5_s990304,
34,projector_sign_scan_L6,6,5.0,10,8,0.1,1,0,0,0,990305,500,5000,1,false,0,10,20,raw/L6/task_034_V5_s990305,
35,projector_sign_scan_L6,6,5.0,10,8,0.1,1,0,0,0,990306,500,5000,1,false,0,10,20,raw/L6/task_035_V5_s990306,
36,projector_sign_scan_L6,6,6.0,10,8,0.1,1,0,0,0,990301,500,5000,1,false,0,10,20,raw/L6/task_036_V6_s990301,
37,projector_sign_scan_L6,6,6.0,10,8,0.1,1,0,0,0,990302,500,5000,1,false,0,10,20,raw/L6/task_037_V6_s990302,
38,projector_sign_scan_L6,6,6.0,10,8,0.1,1,0,0,0,990303,500,5000,1,false,0,10,20,raw/L6/task_038_V6_s990303,
39,projector_sign_scan_L6,6,6.0,10,8,0.1,1,0,0,0,990304,500,5000,1,false,0,10,20,raw/L6/task_039_V6_s990304,
40,projector_sign_scan_L6,6,6.0,10,8,0.1,1,0,0,0,990305,500,5000,1,false,0,10,20,raw/L6/task_040_V6_s990305,
41,projector_sign_scan_L6,6,6.0,10,8,0.1,1,0,0,0,990306,500,5000,1,false,0,10,20,raw/L6/task_041_V6_s990306,
