task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,reuse_result
0,projector_sign_scan_L12,12,2.0,10,8,0.1,1,0,0,0,991801,500,5000,1,false,0,10,20,raw/L12/task_000_V2_s991801,
1,projector_sign_scan_L12,12,2.0,10,8,0.1,1,0,0,0,991802,500,5000,1,false,0,10,20,raw/L12/task_001_V2_s991802,
2,projector_sign_scan_L12,12,2.0,10,8,0.1,1,0,0,0,991803,500,5000,1,false,0,10,20,raw/L12/task_002_V2_s991803,
3,projector_sign_scan_L12,12,2.0,10,8,0.1,1,0,0,0,991804,500,5000,1,false,0,10,20,raw/L12/task_003_V2_s991804,
4,projector_sign_scan_L12,12,2.0,10,8,0.1,1,0,0,0,991805,500,5000,1,false,0,10,20,raw/L12/task_004_V2_s991805,
5,projector_sign_scan_L12,12,2.0,10,8,0.1,1,0,0,0,991806,500,5000,1,false,0,10,20,raw/L12/task_005_V2_s991806,
6,projector_sign_scan_L12,12,3.0,10,8,0.1,1,0,0,0,991801,500,5000,1,false,0,10,20,raw/L12/task_006_V3_s991801,
7,projector_sign_scan_L12,12,3.0,10,8,0.1,1,0,0,0,991802,500,5000,1,false,0,10,20,raw/L12/task_007_V3_s991802,
8,projector_sign_scan_L12,12,3.0,10,8,0.1,1,0,0,0,991803,500,5000,1,false,0,10,20,raw/L12/task_008_V3_s991803,
9,projector_sign_scan_L12,12,3.0,10,8,0.1,1,0,0,0,991804,500,5000,1,false,0,10,20,raw/L12/task_009_V3_s991804,
10,projector_sign_scan_L12,12,3.0,10,8,0.1,1,0,0,0,991805,500,5000,1,false,0,10,20,raw/L12/task_010_V3_s991805,
11,projector_sign_scan_L12,12,3.0,10,8,0.1,1,0,0,0,991806,500,5000,1,false,0,10,20,raw/L12/task_011_V3_s991806,
12,projector_sign_scan_L12,12,3.5,10,8,0.1,1,0,0,0,991801,500,5000,1,false,0,10,20,raw/L12/task_012_V3.5_s991801,
13,projector_sign_scan_L12,12,3.5,10,8,0.1,1,0,0,0,991802,500,5000,1,false,0,10,20,raw/L12/task_013_V3.5_s991802,
14,projector_sign_scan_L12,12,3.5,10,8,0.1,1,0,0,0,991803,500,5000,1,false,0,10,20,raw/L12/task_014_V3.5_s991803,
15,projector_sign_scan_L12,12,3.5,10,8,0.1,1,0,0,0,991804,500,5000,1,false,0,10,20,raw/L12/task_015_V3.5_s991804,
16,projector_sign_scan_L12,12,3.5,10,8,0.1,1,0,0,0,991805,500,5000,1,false,0,10,20,raw/L12/task_016_V3.5_s991805,
17,projector_sign_scan_L12,12,3.5,10,8,0.1,1,0,0,0,991806,500,5000,1,false,0,10,20,raw/L12/task_017_V3.5_s991806,
18,projector_sign_scan_L12,12,4.0,10,8,0.1,1,0,0,0,991801,500,5000,1,false,0,10,20,raw/L12/task_018_V4_s991801,
19,projector_sign_scan_L12,12,4.0,10,8,0.1,1,0,0,0,991802,500,5000,1,false,0,10,20,raw/L12/task_019_V4_s991802,
20,projector_sign_scan_L12,12,4.0,10,8,0.1,1,0,0,0,991803,500,5000,1,false,0,10,20,raw/L12/task_020_V4_s991803,
21,projector_sign_scan_L12,12,4.0,10,8,0.1,1,0,0,0,991804,500,5000,1,false,0,10,20,raw/L12/task_021_V4_s991804,
22,projector_sign_scan_L12,12,4.0,10,8,0.1,1,0,0,0,991805,500,5000,1,false,0,10,20,raw/L12/task_022_V4_s991805,
23,projector_sign_scan_L12,12,4.0,10,8,0.1,1,0,0,0,991807,500,5000,1,false,0,10,20,raw/L12/task_023_V4_s991807,
24,projector_sign_scan_L12,12,4.5,10,8,0.1,1,0,0,0,991801,500,5000,1,false,0,10,20,raw/L12/task_024_V4.5_s991801,
25,projector_sign_scan_L12,12,4.5,10,8,0.1,1,0,0,0,991802,500,5000,1,false,0,10,20,raw/L12/task_025_V4.5_s991802,
26,projector_sign_scan_L12,12,4.5,10,8,0.1,1,0,0,0,991803,500,5000,1,false,0,10,20,raw/L12/task_026_V4.5_s991803,
27,projector_sign_scan_L12,12,4.5,10,8,0.1,1,0,0,0,991804,500,5000,1,false,0,10,20,raw/L12/task_027_V4.5_s991804,
28,projector_sign_scan_L12,12,4.5,10,8,0.1,1,0,0,0,991805,500,5000,1,false,0,10,20,raw/L12/task_028_V4.5_s991805,
29,projector_sign_scan_L12,12,4.5,10,8,0.1,1,0,0,0,991806,500,5000,1,false,0,10,20,raw/L12/task_029_V4.5_s991806,
30,projector_sign_scan_L12,12,5.0,10,8,0.1,1,0,0,0,991801,500,5000,1,false,0,10,20,raw/L12/task_030_V5_s991801,
31,projector_sign_scan_L12,12,5.0,10,8,0.1,1,0,0,0,991802,500,5000,1,false,0,10,20,raw/L12/task_031_V5_s991802,
32,projector_sign_scan_L12,12,5.0,10,8,0.1,1,0,0,0,991803,500,5000,1,false,0,10,20,raw/L12/task_032_V5_s991803,
33,projector_sign_scan_L12,12,5.0,10,8,0.1,1,0,0,0,991804,500,5000,1,false,0,10,20,raw/L12/task_033_V5_s991804,
34,projector_sign_scan_L12,12,5.0,10,8,0.1,1,0,0,0,991805,500,5000,1,false,0,10,20,raw/L12/task_034_V5_s991805,
35,projector_sign_scan_L12,12,5.0,10,8,0.1,1,0,0,0,991806,500,5000,1,false,0,10,20,raw/L12/task_035_V5_s991806,
36,projector_sign_scan_L12,12,6.0,10,8,0.1,1,0,0,0,991801,500,5000,1,false,0,10,20,raw/L12/task_036_V6_s991801,
37,projector_sign_scan_L12,12,6.0,10,8,0.1,1,0,0,0,991802,500,5000,1,false,0,10,20,raw/L12/task_037_V6_s991802,
38,projector_sign_scan_L12,12,6.0,10,8,0.1,1,0,0,0,991803,500,5000,1,false,0,10,20,raw/L12/task_038_V6_s991803,
39,projector_sign_scan_L12,12,6.0,10,8,0.1,1,0,0,0,991804,500,5000,1,false,0,10,20,raw/L12/task_039_V6_s991804,
40,projector_sign_scan_L12,12,6.0,10,8,0.1,1,0,0,0,991805,500,5000,1,false,0,10,20,raw/L12/task_040_V6_s991805,
41,projector_sign_scan_L12,12,6.0,10,8,0.1,1,0,0,0,991806,500,5000,1,false,0,10,20,raw/L12/task_041_V6_s991806,
