bin_index,sample_count,sign_sum,signed_S_pi_numerator,signed_S_pi_dq_numerator
0,334,124,5.1468117778551363,4.0422642895861252
1,333,139,3.9810065133260881,3.5063272555592406
2,333,161,4.1325665885266432,4.0302548257445769
3,334,102,3.4617979224319213,2.8657965268329377
4,333,129,3.6560812918396492,3.330668771779195
5,333,127,4.307501487611102,3.5052444427887686
6,334,122,4.819220073363029,3.5808179422432209
7,333,135,5.0656201013694222,4.1293908931841221
8,333,119,4.2792847619951564,3.3111799564002342
9,334,112,4.3588540810655436,3.4192745770090811
10,333,107,7.7172695642020939,3.3343989686422844
11,333,133,5.1137171161673374,3.9455315125785355
12,334,132,3.3495605183735195,2.4044591181371562
13,286,100,5.685895871076192,3.427201964985473
14,0,0,0,0
