L,V,n_seeds,average_sign,average_sign_error,seed_signs,acceptance_mean,acceptance_error,sign_correction_count,max_sign_imag
18,2,6,0.8014,0.003933785284769187,992801:0.8104;992802:0.8012;992803:0.8028;992804:0.8056;992805:0.7828;992806:0.8056,0.74735075,3.5957199065125354e-05,0,3.044640075362655e-08
18,3,6,0.13686666666666666,0.005337082015900118,992801:0.1352;992802:0.1476;992803:0.1236;992804:0.1436;992805:0.1196;992806:0.1516,0.6832436759259259,4.267399849394974e-05,0,6.638922154507982e-07
18,3.5,6,0.026533333333333336,0.0049602867300635395,992801:0.0296;992802:0.02;992803:0.032;992804:0.0316;992805:0.0056;992806:0.0404,0.6555788842592593,4.918483417049139e-05,0,1.1158851700205797e-05
18,4,6,0.0192,0.0063556798744639955,992801:0.0104;992802:0.042;992803:0.0208;992804:0.0292;992805:0.016;992806:-0.0032,0.630998675925926,3.461384246005122e-05,0,0.0005980930713964696
18,4.5,6,0.005866666666666667,0.0027532606931499324,992801:0.0048;992802:-0.002;992803:0.0072;992804:0.0116;992805:0.0148;992806:-0.0012,0.610100712962963,2.907567523309078e-05,3,6.717048998767352e-05
18,5,6,0.005866666666666667,0.00366557559524346,992801:0.0152;992802:0.016;992803:-0.002;992804:-0.0064;992805:0.0068;992806:0.0056,0.5926161157407407,4.506276282530279e-05,0,0.002511827785923938
18,6,6,0.013,0.006784099055880596,992801:0.0032;992802:0.0088;992803:0.0332;992804:0.0236;992805:-0.0128;992806:0.022,0.566296074074074,5.016680748650382e-05,1,0.00484361466137119
