comparison,observable,difference,error,z
4-12,S_pi,-3.812922200197022e-15,1.0097236913305977e-14,-0.37762035623551771
4-12,S_pi_dq,-5.2284565565940966e-15,1.4877827953872717e-14,-0.35142606654710795
4-12,R_cdw,4.9932280532516415e-14,1.5748168490223337e-13,0.31706722317274549
8-12,S_pi,-1.7347234759768071e-18,5.2041704279304213e-18,-0.33333333333333331
8-12,S_pi_dq,0,1.471961680016039e-17,0
8-12,R_cdw,-2.7755575615628914e-17,1.594436429147036e-16,-0.17407765595569785
