observable,difference_dt005_minus_dt01,paired_jackknife_error,z
S_pi,0.00036961414175033271,0.0037535155711733055,0.098471455557275225
S_pi_dq,-8.2188937868581807e-05,0.001269500606428638,-0.064741156839456665
R_cdw,0.0077785308382933571,0.081724373290667271,0.09518006104039034
