beta_trial,trial_slices,physical_slices,operator_count,matrix_sha256,max_abs_diff,frobenius_diff,relative_frobenius,finite,skew_error
8,80,200,880,a166407db8ba50e16407f9a600ba64cfb251d097dd1674f742c8033d785a0aec,1.1791357088508647e-06,3.1653876933669541e-06,7.0780207080164195e-07,True,1.862645371275562e-09
12,120,200,920,112bb27cc8a2dabc79e0ba971e0f6c0edce781b7180fde77c6760d77c92b62d0,0,0,0,True,1.9073504518019035e-06
10,100,200,900,95e87e298a96b99864807553e6ca51883fa7948afb8dff34ac6f5589a0fc1745,9.2791970729422246e-07,2.6188865039199768e-06,5.8560071316172368e-07,True,5.9604646551747464e-08
4,40,200,840,46efdc900082579c6754588f107b8b40772bf2a5350e469cee8fa8fa3a213298,0.00067165386065615174,0.0030003164982150589,0.00067089103649041178,True,2.2737367544323206e-13
6,60,200,860,adaa0dc1c2b274418f02ba72b49c732de2b9e515078c81f045f8549210958efd,1.324195620366897e-05,5.586649485915256e-05,1.2492125635225761e-05,True,1.4552137272971777e-11
