observable,theta_minus_trotter,error,z
S_pi,-0.00038965448382671103,0.00019756457022006291,-1.9722892793615947
S_pi_dq,5.0303001506893374e-05,6.7271207566069543e-05,0.74776421186566233
R_cdw,-0.0078575556229002474,0.0036917210896684921,-2.1284261275560872
