10 3.6 0.6066334815912875 0.004986848508136235
10 3.8 0.6366752289656155 0.005221255304500712
10 4.0 0.6641009831301189 0.00511703479544206
10 4.2 0.709519851104262 0.0043081497638862865
10 4.4 0.7361805658087761 0.005328794504227873

18 3.6 0.5013149450010449 0.01011178122976435
18 3.8 0.5706327195776126 0.007429264002582731
18 4.0 0.6338813664496193 0.008095800973510675
18 4.2 0.6889985836106275 0.00874649874071246
18 4.4 0.7477509336787225 0.006136868218645663

26 3.6 0.44739909804781824 0.011041897773533094
26 3.8 0.5250506236000905 0.012823372373037212
26 4.0 0.6014386374973499 0.012891933589904266
26 4.2 0.715567484088574 0.01012511874167452
26 4.4 0.7675053191082009 0.010654014715998807

34 3.6 0.35700400853337416 0.013797592462801014
34 3.8 0.5078445782887949 0.013292213922229798

