task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,source_result_path,source_task_id,code_version
24,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990001,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_024_L10_V2.0_th6_bt8_dt0.1_s990001,,,source_identifier:PfQMC-main_20260821
25,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990002,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_025_L10_V2.0_th6_bt8_dt0.1_s990002,,,source_identifier:PfQMC-main_20260821
26,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990003,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_026_L10_V2.0_th6_bt8_dt0.1_s990003,,,source_identifier:PfQMC-main_20260821
27,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990004,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_027_L10_V2.0_th6_bt8_dt0.1_s990004,,,source_identifier:PfQMC-main_20260821
28,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990005,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_028_L10_V2.0_th6_bt8_dt0.1_s990005,,,source_identifier:PfQMC-main_20260821
29,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990006,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_029_L10_V2.0_th6_bt8_dt0.1_s990006,,,source_identifier:PfQMC-main_20260821
30,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990007,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_030_L10_V2.0_th6_bt8_dt0.1_s990007,,,source_identifier:PfQMC-main_20260821
31,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990008,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_031_L10_V2.0_th6_bt8_dt0.1_s990008,,,source_identifier:PfQMC-main_20260821
32,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990009,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_032_L10_V2.0_th6_bt8_dt0.1_s990009,,,source_identifier:PfQMC-main_20260821
33,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990010,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_033_L10_V2.0_th6_bt8_dt0.1_s990010,,,source_identifier:PfQMC-main_20260821
34,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990011,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_034_L10_V2.0_th6_bt8_dt0.1_s990011,,,source_identifier:PfQMC-main_20260821
35,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990012,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_035_L10_V2.0_th6_bt8_dt0.1_s990012,,,source_identifier:PfQMC-main_20260821
36,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990001,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_036_L10_V2.0_th8_bt8_dt0.1_s990001,,,source_identifier:PfQMC-main_20260821
37,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990002,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_037_L10_V2.0_th8_bt8_dt0.1_s990002,,,source_identifier:PfQMC-main_20260821
38,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990003,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_038_L10_V2.0_th8_bt8_dt0.1_s990003,,,source_identifier:PfQMC-main_20260821
39,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990004,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_039_L10_V2.0_th8_bt8_dt0.1_s990004,,,source_identifier:PfQMC-main_20260821
40,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990005,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_040_L10_V2.0_th8_bt8_dt0.1_s990005,,,source_identifier:PfQMC-main_20260821
41,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990006,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_041_L10_V2.0_th8_bt8_dt0.1_s990006,,,source_identifier:PfQMC-main_20260821
42,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990007,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_042_L10_V2.0_th8_bt8_dt0.1_s990007,,,source_identifier:PfQMC-main_20260821
43,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990008,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_043_L10_V2.0_th8_bt8_dt0.1_s990008,,,source_identifier:PfQMC-main_20260821
44,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990009,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_044_L10_V2.0_th8_bt8_dt0.1_s990009,,,source_identifier:PfQMC-main_20260821
