bin_index,sample_count,sign_sum,signed_S_pi_numerator,signed_S_pi_dq_numerator
0,334,94,2.3664037468674359,2.4694215886210791
1,333,45,0.64184843252015356,1.3696076626380194
2,333,55,1.4615340645781534,1.504635338236753
3,334,54,4.7386001277321608,4.2427791261507775
4,333,65,2.0712615148188851,2.0216596461045642
5,333,45,0.85132123044893571,1.2355081526181038
6,334,60,2.6065218279850542,1.8447041401447926
7,333,73,2.841542979872989,2.0605781339101576
8,333,49,1.5583863182368938,1.2471330065536952
9,334,50,2.9837930366324938,1.8551446635090627
10,333,69,1.7190132268264364,1.2016923466541067
11,333,45,2.2864788499547521,1.3259842487101243
12,47,13,0.49827339621140543,-0.015994513343236483
13,0,0,0,0
14,0,0,0,0
