L,V,theta,beta_trial,dt,burn,measurements_per_seed,seeds,sample_count,n_bins_requested,n_bins_used,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,runtime_seconds_total,runtime_seconds_mean,max_sign_imag,max_observable_imag,min_update_denominator,sign_corrections_total,pooled_sign_sum,status
10,2,10,2,0.1,500,5000,12,60000,24,24,0.0452235604956596,0.0001894631564710773,0.03534152650759904,6.971367771831013e-05,0.21851516952118366,0.002630220046888402,0.8778666666666667,0.7457847708333335,2853.61908,237.80159,3.861743517798537e-06,2.1666067809532598e-13,inf,0,52672.0,WARNING
10,2,10,4,0.1,500,5000,12,60000,24,24,0.045544861476721606,0.00025317178264199945,0.035306022799760674,9.463311502392487e-05,0.22480776853814988,0.005875872310138123,0.8759666666666667,0.7457612958333333,3734.4058182690005,311.20048485575006,3.269123444635124e-09,3.2634427063533283e-12,inf,0,52558.0,PASS
10,2,10,6,0.1,500,5000,12,60000,24,24,0.04554486147671969,0.0002531717826418597,0.03530602279975631,9.46331150241517e-05,0.22480776853821316,0.005875872310140256,0.8759666666666667,0.7457612958333333,2908.842846745,242.40357056208333,4.311318671323449e-09,4.129939070776916e-12,inf,0,52558.0,PASS
10,2,10,8,0.1,500,5000,12,60000,24,24,0.04554486147671966,0.0002531717826418506,0.03530602279975623,9.463311502415773e-05,0.22480776853821438,0.005875872310140354,0.8759666666666667,0.7457612958333333,3246.4479107570005,270.5373258964167,2.3478586048292336e-09,2.9101498921658334e-12,inf,0,52558.0,PASS
10,2,10,10,0.1,500,5000,12,60000,24,24,0.04554486147671964,0.00025317178264185666,0.03530602279975625,9.463311502416057e-05,0.22480776853821371,0.005875872310140545,0.8759666666666667,0.7457612958333333,3235.0119344539994,269.58432787116664,2.173351689242874e-09,4.4441243703809814e-12,inf,0,52558.0,PASS
10,2,10,12,0.1,500,5000,12,60000,24,24,0.045544861476719656,0.0002531717826418523,0.03530602279975627,9.46331150241682e-05,0.2248077685382135,0.00587587231014061,0.8759666666666667,0.7457612958333333,3411.1632193040004,284.2636016086667,4.4074225191522976e-09,2.64445560494307e-12,inf,0,52558.0,PASS
