seed,dt,max_sign_imag,max_observable_imag,sign_corrections,pooled_S_pi_leave_one_out_shift_in_jackknife_sigma
990104,0.2,2.5124359701635355e-07,4.9935697085055405e-15,0,-0.08264106937176555
990106,0.05,1.602133799026444e-06,2.1745425121250848e-14,0,-0.04477467255415556
