lower,upper,observable,sigma_difference
0.05,0.1,S_pi,-1.668417942949661
0.05,0.1,S_pi_dq,-0.37222888355172884
0.05,0.1,R_cdw,-1.4942248707757404
0.05,0.2,S_pi,-2.4956709386632747
0.05,0.2,S_pi_dq,-3.139241492901009
0.05,0.2,R_cdw,-1.5504061890972654
0.1,0.2,S_pi,-1.470880883722799
0.1,0.2,S_pi_dq,-3.825064694724485
0.1,0.2,R_cdw,-0.3232975798882662
