theta,n_seeds,seed_set,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,n_bins_per_seed,raw_bin_records
2.0,12,990001;990002;990003;990004;990005;990006;990007;990008;990009;990010;990011;990012,0.04545785442361502,0.0001718244347347238,0.0353398128959031,5.534504408478406e-05,0.22258071033057092,0.003258195476897927,0.9779,0.7472200833333332,15,not_emitted_by_projector_driver
4.0,12,990001;990002;990003;990004;990005;990006;990007;990008;990009;990010;990011;990012,0.045911813747769994,0.00019206302454530795,0.03524623771428492,8.489466054697547e-05,0.2323057000553178,0.003305426157956546,0.9493333333333334,0.74629865625,15,not_emitted_by_projector_driver
6.0,12,990001;990002;990003;990004;990005;990006;990007;990008;990009;990010;990011;990012,0.045210747398398386,9.639435323084571e-05,0.035232532464864366,4.279437479377819e-05,0.22070448970032952,0.0019215867871367066,0.925,0.745981076388889,15,not_emitted_by_projector_driver
8.0,12,990001;990002;990003;990004;990005;990006;990007;990008;990009;990010;990011;990012,0.04498197161490054,0.0001511557527775622,0.03534874740209219,4.6543127955501797e-05,0.21415744723864627,0.0029394360038814352,0.9009333333333334,0.7458367447916666,15,not_emitted_by_projector_driver
10.0,12,990001;990002;990003;990004;990005;990006;990007;990008;990009;990010;990011;990012,0.04562226015657505,0.00019284609880219447,0.03537149636403072,3.9023543505869104e-05,0.22468776771172294,0.0033241272646122874,0.8798666666666667,0.7458262583333332,15,not_emitted_by_projector_driver
12.0,12,990001;990002;990003;990004;990005;990006;990007;990008;990009;990010;990011;990012,0.04543440209863493,7.506896592203153e-05,0.03533902213953434,3.736907943754058e-05,0.22219682647488626,0.0011160916848534758,0.8576666666666667,0.7457076874999999,15,not_emitted_by_projector_driver
