observable,hs0,hs0_error,hs1,hs1_error,hs0_minus_hs1,difference_error,difference_sigma,ED,hs0_minus_ED,hs0_minus_ED_sigma,hs1_minus_ED,hs1_minus_ED_sigma,jackknife_bin_size,jackknife_units
S_pi,0.045301785016834385,0.0001296971717574733,0.045680764274896486,0.00010724239582568741,-0.000378979258062101,0.00016980035064890375,-2.2319109272378155,0.045513625944543126,-0.00021184092770874102,-1.6333504026199746,0.00016713833035335995,1.558509851132269,25,4800
S_pi_dq,0.03533780916112387,4.217356834374663e-05,0.03527674842873563,3.956785309960641e-05,6.1060732388242e-05,5.7930551726983405e-05,1.054033330737304,0.035315023720177335,2.278544094653362e-05,0.540277757879413,-3.827529144170838e-05,-0.9673330353647395,25,4800
R_cdw,0.2199466500493933,0.0024393234759013133,0.2277548550534717,0.0023881675271116474,-0.007808205004078417,0.003443873473425788,-2.2672740634432245,0.22407799890064695,-0.004131348851253658,-1.6936453455510458,0.003676856152824759,1.539613997378026,25,4800
