hs_scheme,seed,series,tau_int_retained_measurements
0,780001,sign,0.5
0,780001,sign_S_pi,0.514330041500447
0,780001,sign_S_pi_dq,0.5
0,780002,sign,0.5203086231974223
0,780002,sign_S_pi,0.5
0,780002,sign_S_pi_dq,0.528821781695324
0,780003,sign,0.5179255800472348
0,780003,sign_S_pi,0.5136557403186229
0,780003,sign_S_pi_dq,0.5172896556304026
0,780004,sign,0.5212991939319247
0,780004,sign_S_pi,0.5259561069189131
0,780004,sign_S_pi_dq,0.5185347848325456
0,780005,sign,0.5
0,780005,sign_S_pi,0.5067609350343957
0,780005,sign_S_pi_dq,0.5
0,780006,sign,0.5360838174901158
0,780006,sign_S_pi,0.5345633673673361
0,780006,sign_S_pi_dq,0.5279077667989757
0,780007,sign,0.5225577272167197
0,780007,sign_S_pi,0.5275238718349998
0,780007,sign_S_pi_dq,0.5206147451877817
0,780008,sign,0.519572522999398
0,780008,sign_S_pi,0.5465002195769042
0,780008,sign_S_pi_dq,0.5319801932920168
0,780009,sign,0.532830206006414
0,780009,sign_S_pi,0.5213522346488549
0,780009,sign_S_pi_dq,0.538879335247707
0,780010,sign,0.5
0,780010,sign_S_pi,0.5070462670162832
0,780010,sign_S_pi_dq,0.5
0,780011,sign,0.5
0,780011,sign_S_pi,0.5
0,780011,sign_S_pi_dq,0.5
0,780012,sign,0.5022921658429766
0,780012,sign_S_pi,0.5
0,780012,sign_S_pi_dq,0.5135677612719179
1,780001,sign,0.5
1,780001,sign_S_pi,0.8717989284612805
1,780001,sign_S_pi_dq,0.8879365101719301
1,780002,sign,0.5
1,780002,sign_S_pi,0.8719800266930412
1,780002,sign_S_pi_dq,0.8527728601065886
1,780003,sign,0.5
1,780003,sign_S_pi,0.8602191514585201
1,780003,sign_S_pi_dq,0.8283126849236715
1,780004,sign,0.5
1,780004,sign_S_pi,0.8264004002670226
1,780004,sign_S_pi_dq,0.887032213403969
1,780005,sign,0.5
1,780005,sign_S_pi,0.7948954007760219
1,780005,sign_S_pi_dq,0.8903048144810004
1,780006,sign,0.5
1,780006,sign_S_pi,0.8055112195986224
1,780006,sign_S_pi_dq,0.8441428429066657
1,780007,sign,0.5
1,780007,sign_S_pi,0.776008426486783
1,780007,sign_S_pi_dq,0.8169399358193347
1,780008,sign,0.5
1,780008,sign_S_pi,0.8130374443508097
1,780008,sign_S_pi_dq,0.8281999414464407
1,780009,sign,0.5
1,780009,sign_S_pi,0.7780846287671614
1,780009,sign_S_pi_dq,0.8315904852307001
1,780010,sign,0.5
1,780010,sign_S_pi,0.8137263573680638
1,780010,sign_S_pi_dq,0.9085254344445086
1,780011,sign,0.5
1,780011,sign_S_pi,0.7705062394296521
1,780011,sign_S_pi_dq,0.8447577802819534
1,780012,sign,0.5
1,780012,sign_S_pi,0.7356015188107382
1,780012,sign_S_pi_dq,0.8425175643488698
