comparison,L,V,theta,delta,mu,boundary,observable,left,right,difference
tiny_enum_vs_ed,2,4,0.2,1,0,0,S_pi,0.2249203362899981,0.2249203362899984,-3.0531133177191805e-16
tiny_enum_vs_ed,2,4,0.2,1,0,0,S_pi_dq,0.025079663710001792,0.025079663710001577,2.1510571102112408e-16
tiny_enum_vs_ed,2,4,0.2,1,0,0,R_cdw,0.8884953485145707,0.8884953485145718,-1.1102230246251565e-15
tiny_enum_vs_ed,2,4,0.2,1,0.7,0,S_pi,0.22291876216334602,0.22291876216334705,-1.0269562977782698e-15
tiny_enum_vs_ed,2,4,0.2,1,0.7,0,S_pi_dq,0.027081237836653088,0.02708123783665295,1.3877787807814457e-16
tiny_enum_vs_ed,2,4,0.2,1,0.7,0,R_cdw,0.8785152152567175,0.8785152152567186,-1.1102230246251565e-15
tiny_enum_vs_ed,2,2,0.2,0.6,0,1,S_pi,0.15600746065442705,0.15600746065442686,1.942890293094024e-16
tiny_enum_vs_ed,2,2,0.2,0.6,0,1,S_pi_dq,0.09399253934557333,0.09399253934557317,1.6653345369377348e-16
tiny_enum_vs_ed,2,2,0.2,0.6,0,1,R_cdw,0.39751253593072255,0.3975125359307229,-3.3306690738754696e-16
tiny_enum_vs_ed,2,2,0.2,0.6,0.7,1,S_pi,0.1511312463165253,0.1511312463165255,-1.942890293094024e-16
tiny_enum_vs_ed,2,2,0.2,0.6,0.7,1,S_pi_dq,0.09886875368347445,0.09886875368347446,-1.3877787807814457e-17
tiny_enum_vs_ed,2,2,0.2,0.6,0.7,1,R_cdw,0.34580865245823267,0.34580865245823345,-7.771561172376096e-16
tiny_enum_vs_ed,2,2,0.2,1,0,1,S_pi,0.14967191502811306,0.149671915028113,5.551115123125783e-17
tiny_enum_vs_ed,2,2,0.2,1,0,1,S_pi_dq,0.10032808497188705,0.10032808497188701,4.163336342344337e-17
tiny_enum_vs_ed,2,2,0.2,1,0,1,R_cdw,0.32967995396436056,0.32967995396436056,0.0
tiny_enum_vs_ed,2,2,0.2,1,0.7,1,S_pi,0.1450112962435339,0.14501129624353393,-2.7755575615628914e-17
tiny_enum_vs_ed,2,2,0.2,1,0.7,1,S_pi_dq,0.10498870375646589,0.10498870375646607,-1.8041124150158794e-16
tiny_enum_vs_ed,2,2,0.2,1,0.7,1,R_cdw,0.27599637768807705,0.27599637768807594,1.1102230246251565e-15
tiny_enum_vs_ed,2,4,0.2,0.6,0,1,S_pi,0.17808050835444833,0.17808050835444827,5.551115123125783e-17
tiny_enum_vs_ed,2,4,0.2,0.6,0,1,S_pi_dq,0.07191949164555192,0.07191949164555174,1.8041124150158794e-16
tiny_enum_vs_ed,2,4,0.2,0.6,0,1,R_cdw,0.5961405753491864,0.5961405753491873,-8.881784197001252e-16
tiny_enum_vs_ed,2,4,0.2,0.6,0.7,1,S_pi,0.17379002139683786,0.17379002139683802,-1.6653345369377348e-16
tiny_enum_vs_ed,2,4,0.2,0.6,0.7,1,S_pi_dq,0.07620997860316205,0.07620997860316199,5.551115123125783e-17
