kind,comparison,seed,bin,metric,value_a,value_b,difference_b_minus_a,sign_z_a,sign_z_b,bin_pair_valid
interval,5_vs_10,740001,0,S_pi,-0.2707563408203676,-0.27075634082035566,1.1934897514720433e-14,0.32562394774651304,0.32562394774651304,0
interval,5_vs_10,740001,0,S_pi_dq,0.32470648677073494,0.32470648677073427,-6.661338147750939e-16,0.32562394774651304,0.32562394774651304,0
interval,5_vs_10,740001,0,R_cdw,2.1992571837353956,2.1992571837354458,5.0182080713057076e-14,0.32562394774651304,0.32562394774651304,0
interval,5_vs_10,740001,1,S_pi,0.07335375148964775,0.07335375148965,2.248201624865942e-15,0.4886533037666392,0.4886533037666392,0
interval,5_vs_10,740001,1,S_pi_dq,-0.05712510718963487,-0.057125107189618364,1.6507628597395296e-14,0.4886533037666392,0.4886533037666392,0
interval,5_vs_10,740001,1,R_cdw,1.7787619041910463,1.7787619041907972,-2.4913404672588513e-13,0.4886533037666392,0.4886533037666392,0
interval,5_vs_10,740001,2,S_pi,-1.4206449394849292,-1.4206449394849323,-3.1086244689504383e-15,0.8155848033335169,0.8155848033335169,0
interval,5_vs_10,740001,2,S_pi_dq,0.4386727946718132,0.43867279467180065,-1.2545520178264269e-14,0.8155848033335169,0.8155848033335169,0
interval,5_vs_10,740001,2,R_cdw,1.3087842588105505,1.308784258810541,-9.547918011776346e-15,0.8155848033335169,0.8155848033335169,0
interval,5_vs_10,740001,3,S_pi,0.7170393561021183,0.7170393561021204,2.1094237467877974e-15,0.9796644073593258,0.9796644073593258,0
interval,5_vs_10,740001,3,S_pi_dq,-0.16006002122956256,-0.16006002122956495,-2.3869795029440866e-15,0.9796644073593258,0.9796644073593258,0
interval,5_vs_10,740001,3,R_cdw,1.2232234812042413,1.223223481204244,2.6645352591003757e-15,0.9796644073593258,0.9796644073593258,0
interval,5_vs_10,740001,4,S_pi,0.12129261031724835,0.12129261031724786,-4.85722573273506e-16,1.9785383800954366,1.9785383800954366,0
interval,5_vs_10,740001,4,S_pi_dq,-0.07247311592411466,-0.07247311592411058,4.08006961549745e-15,1.9785383800954366,1.9785383800954366,0
interval,5_vs_10,740001,4,R_cdw,1.597506441114234,1.5975064411142026,-3.1308289294429414e-14,1.9785383800954366,1.9785383800954366,0
interval,5_vs_10,740001,5,S_pi,0.10560583752171712,0.10560583752171858,1.457167719820518e-15,0.6519441692793733,0.6519441692793733,0
interval,5_vs_10,740001,5,S_pi_dq,-0.01661563116729084,-0.016615631167310806,-1.996666720849305e-14,0.6519441692793733,0.6519441692793733,0
interval,5_vs_10,740001,5,R_cdw,1.1573362946330874,1.1573362946332744,1.8696155734687636e-13,0.6519441692793733,0.6519441692793733,0
interval,5_vs_10,740001,6,S_pi,0.3172636458342545,0.31726364583427125,1.6764367671839864e-14,0.32562394774651304,0.32562394774651304,0
interval,5_vs_10,740001,6,S_pi_dq,-0.1373357494905384,-0.1373357494905435,-5.10702591327572e-15,0.32562394774651304,0.32562394774651304,0
interval,5_vs_10,740001,6,R_cdw,1.4328757842059396,1.4328757842059328,-6.8833827526759706e-15,0.32562394774651304,0.32562394774651304,0
interval,5_vs_10,740001,7,S_pi,0.1359608614732101,0.1359608614732013,-8.798517470154366e-15,0.6519441692793733,0.6519441692793733,0
interval,5_vs_10,740001,7,S_pi_dq,0.010106658273695194,0.010106658273206313,-4.888815047232598e-13,0.6519441692793733,0.6519441692793733,0
interval,5_vs_10,740001,7,R_cdw,0.9256649438361596,0.9256649438397506,3.591016373150069e-12,0.6519441692793733,0.6519441692793733,0
interval,5_vs_10,740001,8,S_pi,-0.03779655151143766,-0.03779655151143815,-4.926614671774132e-16,0.8155848033335169,0.8155848033335169,0
interval,5_vs_10,740001,8,S_pi_dq,0.05213518535377891,0.05213518535395052,1.7161272403143357e-13,0.8155848033335169,0.8155848033335169,0
interval,5_vs_10,740001,8,R_cdw,2.3793635469098873,2.3793635469144094,4.522160423903188e-12,0.8155848033335169,0.8155848033335169,0
