comparison,group,seed,observable,left,right,difference
hs0_minus_hs1,18|4|18|1,720116,S_pi,-0.2678581111108079,0.07943093829742658,-0.34728904940823446
hs0_minus_hs1,18|4|18|1,720116,S_pi_dq,0.17740996897395722,0.02862410848906522,0.148785860484892
hs0_minus_hs1,18|4|18|1,720116,R_cdw,1.6623281566432238,0.6396352718145772,1.0226928848286465
hs0_minus_hs1,18|4|18|1,720116,average_sign,0.011333333333333334,1,-0.9886666666666667
hs0_minus_hs1,18|6|10|0,720123,S_pi,0.6642112065643344,0.1923782255479735,0.4718329810163609
hs0_minus_hs1,18|6|10|0,720123,S_pi_dq,0.14403430533714084,0.0078078506189257916,0.13622645471821504
hs0_minus_hs1,18|6|10|0,720123,R_cdw,0.7831498416261817,0.9594140626014936,-0.1762642209753119
hs0_minus_hs1,18|6|10|0,720123,average_sign,0.005333333333333333,1,-0.9946666666666667
hs0_minus_hs1,10|2|18|1,720019,S_pi,0.04700204468243601,0.04724639890246129,-0.00024435422002527796
hs0_minus_hs1,10|2|18|1,720019,S_pi_dq,0.03666018892459078,0.03694038216801817,-0.0002801932434273874
hs0_minus_hs1,10|2|18|1,720019,R_cdw,0.22002991205422673,0.21813338103755942,0.0018965310166673133
hs0_minus_hs1,10|2|18|1,720019,average_sign,0.7566666666666667,1,-0.2433333333333333
hs0_minus_hs1,10|4|18|0,720035,S_pi,0.7585955113779788,0.12354446275207175,0.635051048625907
hs0_minus_hs1,10|4|18|0,720035,S_pi_dq,-0.3800122207302544,0.029355983255842006,-0.4093682039860964
hs0_minus_hs1,10|4|18|0,720035,R_cdw,1.5009418260859033,0.762385277317095,0.7385565487688083
hs0_minus_hs1,10|4|18|0,720035,average_sign,0.018666666666666668,1,-0.9813333333333333
hs0_minus_hs1,10|2|18|0,720007,S_pi,0.04569560226023929,0.045927060721925594,-0.00023145846168630413
hs0_minus_hs1,10|2|18|0,720007,S_pi_dq,0.035284239302743325,0.035260510323404035,2.3728979339290857e-05
hs0_minus_hs1,10|2|18|0,720007,R_cdw,0.22784168371832825,0.23224979414868896,-0.004408110430360712
hs0_minus_hs1,10|2|18|0,720007,average_sign,0.8033333333333333,1,-0.19666666666666666
hs0_minus_hs1,18|4|10|1,720112,S_pi,0.07423666260107727,0.08143225878592934,-0.007195596184852077
hs0_minus_hs1,18|4|10|1,720112,S_pi_dq,0.04822556156735611,0.028282649929139272,0.019942911638216834
hs0_minus_hs1,18|4|10|1,720112,R_cdw,0.35038079733589356,0.6526849389811323,-0.3023041416452388
hs0_minus_hs1,18|4|10|1,720112,average_sign,0.07266666666666667,1,-0.9273333333333333
hs0_minus_hs1,18|4|10|0,720102,S_pi,-0.23156971262824608,0.0963872466101395,-0.3279569592383856
hs0_minus_hs1,18|4|10|0,720102,S_pi_dq,0.21818201397958484,0.02458936996962146,0.19359264400996337
hs0_minus_hs1,18|4|10|0,720102,R_cdw,1.9421871776895392,0.7448897978268967,1.1972973798626425
hs0_minus_hs1,18|4|10|0,720102,average_sign,-0.014,1,-1.014
hs0_minus_hs1,18|2|10|1,720087,S_pi,0.02435001111164878,0.023861984518093526,0.0004880265935552526
hs0_minus_hs1,18|2|10|1,720087,S_pi_dq,0.022655236800540924,0.02284371460894225,-0.00018847780840132444
hs0_minus_hs1,18|2|10|1,720087,R_cdw,0.06960055596430892,0.042673311952707293,0.026927244011601625
hs0_minus_hs1,18|2|10|1,720087,average_sign,0.7866666666666666,1,-0.21333333333333337
hs0_minus_hs1,18|6|18|0,720131,S_pi,0.32428916460947194,0.19204844611189506,0.13224071849757688
hs0_minus_hs1,18|6|18|0,720131,S_pi_dq,0.1093522653086492,0.007967744228610333,0.10138452108003886
hs0_minus_hs1,18|6|18|0,720131,R_cdw,0.6627939590879097,0.9585118005903156,-0.2957178415024059
hs0_minus_hs1,18|6|18|0,720131,average_sign,-0.012666666666666666,1,-1.0126666666666666
hs0_minus_hs1,10|6|10|1,720062,S_pi,0.17232919215080256,0.17073676573673402,0.0015924264140685374
hs0_minus_hs1,10|6|10|1,720062,S_pi_dq,0.011941233646391495,0.020276799115245863,-0.008335565468854368
hs0_minus_hs1,10|6|10|1,720062,R_cdw,0.9307068437021285,0.8812394095217225,0.049467434180406
hs0_minus_hs1,10|6|10|1,720062,average_sign,0.258,1,-0.742
hs0_minus_hs1,18|6|10|1,720134,S_pi,0.37215948515466235,0.17762601794142935,0.194533467213233
hs0_minus_hs1,18|6|10|1,720134,S_pi_dq,0.046344046499834854,0.010993535001984476,0.03535051149785038
hs0_minus_hs1,18|6|10|1,720134,R_cdw,0.8754726176585956,0.9381085320191691,-0.06263591436057347
hs0_minus_hs1,18|6|10|1,720134,average_sign,0.052,1,-0.948
hs0_minus_hs1,18|6|10|1,720133,S_pi,-0.41779446878085313,0.17279520595306727,-0.5905896747339204
hs0_minus_hs1,18|6|10|1,720133,S_pi_dq,0.12406770843159133,0.011957404039956172,0.11211030439163516
hs0_minus_hs1,18|6|10|1,720133,R_cdw,1.2969587146369546,0.9308001401196054,0.3661585745173491
hs0_minus_hs1,18|6|10|1,720133,average_sign,0.008666666666666666,1,-0.9913333333333333
hs0_minus_hs1,10|6|18|0,720057,S_pi,0.2578894326201428,0.19499932202357184,0.06289011059657096
hs0_minus_hs1,10|6|18|0,720057,S_pi_dq,-0.08318327276787127,0.013222436623473798,-0.09640570939134507
hs0_minus_hs1,10|6|18|0,720057,R_cdw,1.322554018296654,0.9321923969465112,0.39036162135014274
hs0_minus_hs1,10|6|18|0,720057,average_sign,0.03933333333333333,1,-0.9606666666666667
hs0_minus_hs1,18|6|18|1,720143,S_pi,0.7166721260524336,0.17707425350684214,0.5395978725455914
hs0_minus_hs1,18|6|18|1,720143,S_pi_dq,-0.7056590763439715,0.010899262974677129,-0.7165583393186487
hs0_minus_hs1,18|6|18|1,720143,R_cdw,1.9846330709565558,0.9384480648156115,1.0461850061409443
hs0_minus_hs1,18|6|18|1,720143,average_sign,0.011333333333333334,1,-0.9886666666666667
hs0_minus_hs1,10|2|18|0,720011,S_pi,0.04525116625707961,0.04517733475131722,7.383150576238673e-05
hs0_minus_hs1,10|2|18|0,720011,S_pi_dq,0.03549935543312044,0.035661272885215665,-0.00016191745209522684
hs0_minus_hs1,10|2|18|0,720011,R_cdw,0.2155040771448291,0.2106379652204715,0.004866111924357597
hs0_minus_hs1,10|2|18|0,720011,average_sign,0.798,1,-0.20199999999999996
hs0_minus_hs1,18|6|10|1,720136,S_pi,0.8557471534400032,0.16747580750830293,0.6882713459317003
hs0_minus_hs1,18|6|10|1,720136,S_pi_dq,-0.45154880743296194,0.013960831436337095,-0.465509638869299
hs0_minus_hs1,18|6|10|1,720136,R_cdw,1.5276661518741705,0.9166397126603198,0.6110264392138507
hs0_minus_hs1,18|6|10|1,720136,average_sign,0.03266666666666666,1,-0.9673333333333334
hs0_minus_hs1,10|2|10|0,720004,S_pi,0.046160828370629486,0.045941371420160484,0.00021945695046900193
hs0_minus_hs1,10|2|10|0,720004,S_pi_dq,0.03500799984526994,0.03508878920342035,-8.078935815040988e-05
hs0_minus_hs1,10|2|10|0,720004,R_cdw,0.2416080672515768,0.2362267795074504,0.005381287744126384
