group,n_tasks,completed,physics_valid_tasks,sign_corrections_total,diagnostic_sign_mismatches_total,average_sign_mean,average_sign_max,acceptance_mean,acceptance_max,max_sign_imag_mean,max_sign_imag_max,max_observable_imag_mean,max_observable_imag_max,diagnostic_relative_frobenius_max_mean,diagnostic_relative_frobenius_max_max,diagnostic_S_pi_abs_diff_max_mean,diagnostic_S_pi_abs_diff_max_max,diagnostic_R_cdw_abs_diff_max_mean,diagnostic_R_cdw_abs_diff_max_max
guard_L10_V4_off,6,6,6,0,0,0.14144444444444446,0.16866666666666666,0.6279569027777777,0.628134,8.599408333590345e-06,3.9608102984422033e-05,5.728915962609342e-11,3.270966695626104e-10,4.3401470131600165e-14,1.0658662767396451e-13,1.5358085173981333e-15,3.2751579226442118e-15,2.5336214607799928e-14,1.2612133559741778e-13
guard_L10_V4_on,6,6,6,0,0,0.14144444444444446,0.16866666666666666,0.6279569027777777,0.628134,1.5652260616484396e-05,8.454329134494371e-05,5.728915962609342e-11,3.270966695626104e-10,4.3401470131600165e-14,1.0658662767396451e-13,1.5358085173981333e-15,3.2751579226442118e-15,2.5336214607799928e-14,1.2612133559741778e-13
guard_L10_V6_off,6,6,6,3,0,0.14777777777777779,0.17066666666666666,0.5604526527777778,0.560705,6.777059291283463e-05,0.0003013112945556326,5.57087916304783e-12,1.2030984149872043e-11,2.8536018532833496e-13,5.142868521679819e-13,2.016905161402368e-15,6.161737786669619e-15,9.466501656637168e-14,2.3092638912203256e-13
guard_L10_V6_on,6,6,6,3,0,0.156,0.17466666666666666,0.560416125,0.560705,3.7043657911561935e-06,8.863673823565634e-06,4.68187790551748e-12,1.2030984149872043e-11,4.630017371666423e-13,1.727568799177709e-12,2.1510571102112408e-15,6.161737786669619e-15,1.6721809122562567e-13,3.730349362740526e-13
interval_10,6,6,0,0,0,-0.002666666666666666,0.01,0.6308025505829904,0.6309162551440329,0.00010918337015893562,0.0004504152105607477,2.561576729351944e-10,1.060754916597671e-09,1.847989670822272e-12,8.42299242958862e-12,5.00901403688303e-16,1.3114509478384662e-15,3.2302864087322782e-12,1.4033219031261979e-11
interval_20,6,6,0,4,0,-0.002666666666666666,0.01,0.6308025505829904,0.6309162551440329,0.012175202764172263,0.02429407028832073,3.7078024903576995e-10,9.150947527556139e-10,6.321702066922626e-12,2.876278987050345e-11,5.1970508336644334e-15,2.3377133562263452e-14,1.3321066472116172e-11,6.397904428467882e-11
interval_5,6,6,0,0,0,-0.002666666666666666,0.01,0.6308025505829904,0.6309162551440329,1.7570518659139847e-05,8.744212831550005e-05,5.2949667104119806e-11,1.3277786612082914e-10,1.165746435267157e-12,5.134206543657127e-12,4.710135638001193e-16,1.0200174038743626e-15,1.7946940230236426e-12,8.181899602277554e-12
