kind,comparison,seed,metric,task_a,task_b,value_a,value_b,difference_b_minus_a,physics_pair_valid
interval,5_vs_20,740002,S_pi_dq,1,13,-0.0474577602127429,-0.04745776021649812,-3.7552183584921295e-12,0
interval,5_vs_20,740002,R_cdw,1,13,1.0920165188546298,1.092016518861899,7.269296276035675e-12,0
interval,5_vs_20,740002,average_sign,1,13,-0.03,-0.03,0.0,0
interval,5_vs_20,740002,acceptance,1,13,0.6308486368312757,0.6308486368312757,0.0,0
interval,5_vs_20,740002,sign_corrections,1,13,0.0,0.0,0.0,0
interval,5_vs_20,740002,max_sign_imag,1,13,2.5171471742065153e-06,0.00728509956807524,0.007282582420901034,0
interval,5_vs_20,740002,max_observable_imag,1,13,2.4338316425657402e-11,6.408156204167383e-11,3.9743245616016436e-11,0
interval,5_vs_20,740002,diagnostic_relative_frobenius_max,1,13,1.3329274828067395e-13,3.66954915462052e-13,2.3366216718137806e-13,0
interval,5_vs_20,740002,diagnostic_S_pi_abs_diff_max,1,13,4.0787685728904677e-16,6.368603561179853e-16,2.2898349882893854e-16,0
interval,5_vs_20,740002,diagnostic_R_cdw_abs_diff_max,1,13,8.181899602277554e-12,1.4946266446713707e-11,6.764366844436154e-12,0
interval,5_vs_20,740002,diagnostic_sign_mismatch_count,1,13,0.0,0.0,0.0,0
interval,10_vs_20,740002,S_pi,7,13,0.5157526148942486,0.5157526148943324,8.382183835919932e-14,0
interval,10_vs_20,740002,S_pi_dq,7,13,-0.04745776021264616,-0.04745776021649812,-3.851960417300404e-12,0
interval,10_vs_20,740002,R_cdw,7,13,1.0920165188544455,1.092016518861899,7.453593298123451e-12,0
interval,10_vs_20,740002,average_sign,7,13,-0.03,-0.03,0.0,0
interval,10_vs_20,740002,acceptance,7,13,0.6308486368312757,0.6308486368312757,0.0,0
interval,10_vs_20,740002,sign_corrections,7,13,0.0,0.0,0.0,0
interval,10_vs_20,740002,max_sign_imag,7,13,1.0213113785800676e-05,0.00728509956807524,0.00727488645428944,0
interval,10_vs_20,740002,max_observable_imag,7,13,2.5468284131314957e-12,6.408156204167383e-11,6.153473362854234e-11,0
interval,10_vs_20,740002,diagnostic_relative_frobenius_max,7,13,1.7868386392243098e-13,3.66954915462052e-13,1.8827105153962103e-13,0
interval,10_vs_20,740002,diagnostic_S_pi_abs_diff_max,7,13,6.700369425960417e-16,6.368603561179853e-16,-3.3176586478056436e-17,0
interval,10_vs_20,740002,diagnostic_R_cdw_abs_diff_max,7,13,1.4033219031261979e-11,1.4946266446713707e-11,9.130474154517287e-13,0
interval,10_vs_20,740002,diagnostic_sign_mismatch_count,7,13,0.0,0.0,0.0,0
interval,5_vs_10,740003,S_pi,2,8,-11.083138452838726,-11.083138452824798,1.3928413977737364e-11,0
interval,5_vs_10,740003,S_pi_dq,2,8,7.71269875983598,7.712698759802541,-3.3439029323290015e-11,0
interval,5_vs_10,740003,R_cdw,2,8,1.6958948309321649,1.6958948309300221,-2.142730437526552e-12,0
interval,5_vs_10,740003,average_sign,2,8,0.002,0.002,0.0,0
interval,5_vs_10,740003,acceptance,2,8,0.6305429012345679,0.6305429012345679,0.0,0
